"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"Abiotrophia",0.158706288820427,0.747745754283166,0.548630832136126,0.910837486190776,-0.65999975856301,0.00823128963610631,0.0250368393098234,-1.17753012232129
"Acinetobacter",0.362042338709156,0.747745754283166,0.743244839070994,0.910837486190776,0.162117465925998,0.0741744755385633,0.154706763266146,0.0451032028196406
"Actinomyces",0.911544312454643,0.964387461002739,0.801963321425468,0.910837486190776,-0.233614531596822,7.32303268869972e-05,0.000356387590850053,-0.535250921297431
"Aggregatibacter",0.377204229750884,0.747745754283166,0.521467234414938,0.910837486190776,0.428842780582176,0.863462876024905,0.921790510260567,0.440822439884312
"Alloprevotella",0.481425348648066,0.747745754283166,0.661128349242848,0.910837486190776,0.32060268031115,0.716436718010654,0.792422430526935,0.343735237113114
"Alloscardovia",0.586764817265068,0.823727531929808,0,0,2.37637821943454,0.00499402530142001,0.0158506020436374,3.59832790287915
"Anaeroglobus",0.982600870427279,0.982600870427279,0,0,-0.134222620856701,0.01162446253964,0.0326379140536046,-0.547877174424229
"Arachnia",0.968923088769513,0.982600870427279,0,0,-0.347651563019289,0.135394112097696,0.253430004695687,-0.864945961698686
"Bacteroidales_[G-2]",0.366947599140721,0.747745754283166,0.528898267686063,0.910837486190776,-0.313003630135167,0.678992407201439,0.774475714464141,-0.727664672928582
"Bacteroides",0.403118819351821,0.747745754283166,0.5850716477315,0.910837486190776,0.404176552848374,0.650800402423883,0.754102053602277,0.520867074375517
"Bifidobacterium",0.647894716972135,0.829759900683612,0.457407304352663,0.910837486190776,0.807942552841514,0.494713401471346,0.648246724631693,1.01653323651555
"Bosea",0.885952620943755,0.951096196013149,0.353243657091323,0.910837486190776,0.796106757650884,0.580969392611982,0.706846094344578,1.13854699899647
"Burkholderia",0.22147352788246,0.747745754283166,0.226165374892577,0.910837486190776,-0.959376091624362,0.503044676135106,0.648246724631693,-1.73975927649535
"Campylobacter",0.0698545977239795,0.747745754283166,0.0520101412814052,0.759348062708516,-1.36849233317979,2.985940024125e-07,2.42192913067917e-06,-2.28291312859591
"Capnocytophaga",0.128019148641307,0.747745754283166,0.414515838443386,0.910837486190776,-0.781286040168477,0.000299794173933998,0.00115184077353589,-1.34598028417667
"Cardiobacterium",0.699230121079063,0.858395127985405,0.848168381168339,0.910837486190776,0.111705582730286,0.634884852782722,0.747525713760302,-0.166505365892399
"Catonella",0.740806754288774,0.858395127985405,0.611595288903696,0.910837486190776,0.20237983085234,0.0516947732494171,0.114355104460832,0.0695386284317516
"Cloacibacterium",0.421531864490738,0.747745754283166,0.575250381028754,0.910837486190776,-0.399862389710737,0.140448269412654,0.256007489343755,-0.904062000898128
"Corynebacterium",0.179120520696849,0.747745754283166,0.858064824746972,0.910837486190776,-0.0881832703692481,0.337297958297449,0.519443847390965,-0.258712105601367
"Cryptobacterium",0.259444664002956,0.747745754283166,0.647218421583276,0.910837486190776,0.183740509332802,0.0226760879851753,0.0591198008184927,0.10433939920198
"Desulfobulbus",0.639996239154801,0.829759900683612,0.27541879709642,0.910837486190776,0.37769632498603,0.000207777148161559,0.000892219518576105,0.427291482265602
"Dialister",0.45588678462735,0.747745754283166,0.841882645096804,0.910837486190776,0.150936775747055,0.368633559886202,0.538204997433856,0.00977117659701976
"Eggerthia",0.927357153071443,0.967101031060219,0.18723995108191,0.910837486190776,0.486711094640015,0.00028561181350617,0.00115184077353589,0.59036549430015
"Eikenella",0.468596998248928,0.747745754283166,0.860928582837856,0.910837486190776,-0.146346966803177,0.698684799476086,0.78467677479622,-0.633645890721349
"Escherichia",0.31712859041909,0.747745754283166,0.354776780587371,0.910837486190776,-1.46754250320979,2.05760855020998e-08,1.8775678020666e-07,-2.47439337169044
"Fusobacterium",0.237574383752634,0.747745754283166,0.562591065954965,0.910837486190776,-0.504068397724712,0.0314455916516811,0.0765176063524241,-1.06337246091129
"Gemella",0.253137622479862,0.747745754283166,0.473810187853516,0.910837486190776,0.919592557439135,6.66182080832911e-07,4.42102653643659e-06,1.05729300726998
"Granulicatella",0.162116413489447,0.747745754283166,0.306618305699265,0.910837486190776,-1.09648059946542,8.7190255015912e-12,2.12162953872053e-10,-1.78759386437737
"Haemophilus",0.767986537972702,0.862507958030881,0.800268188301252,0.910837486190776,0.368976325152857,1.73909489031843e-08,1.81362752847493e-07,0.277407060596822
"Kingella",0.633846018615516,0.829759900683612,0.212068940199813,0.910837486190776,0.700496404395946,0.0998601910849702,0.197021458086563,0.926549809477815
"Klebsiella",0.387047367467192,0.747745754283166,0.895294434181802,0.933664195646737,0.135405113291983,0.519034105880624,0.648246724631693,0.041019846576887
"Kluyvera",0.203547080727488,0.747745754283166,0.8200815572376,0.910837486190776,0.203876423225362,0.989857768696267,0.989857768696267,0.0812859701909229
"Lachnoanaerobaculum",0.356265101456001,0.747745754283166,0.190251806363687,0.910837486190776,-0.859278208847617,0.0474443991718657,0.108232535610819,-1.65064636149118
"Lacticaseibacillus",0.104710016858497,0.747745754283166,0.203661092765418,0.910837486190776,1.66321561660444,0.314631540578934,0.51040227693916,2.35001872334635
"Lactobacillus",0.0144415969146231,0.527118287383742,0.503324451789723,0.910837486190776,0.723765363756015,0.805448154273705,0.877577839731052,0.836983442774559
"Lancefieldella",0.699910515464655,0.858395127985405,0.225068369961795,0.910837486190776,-1.27082782941712,4.18944464608551e-06,2.54857882636868e-05,-2.18520255726571
"Lautropia",0.37956873119449,0.747745754283166,0.140563918942955,0.910837486190776,-1.22286807166458,0.0354047747221403,0.0833725340231046,-2.19790430860917
"Leptotrichia",0.75915952258121,0.862507958030881,0.830098752043541,0.910837486190776,0.201839870023178,5.91690100026909e-06,3.32256748476649e-05,0.0215018629047164
"Ligilactobacillus",0.464050938316312,0.747745754283166,0.129306886956348,0.910837486190776,0.767689567615609,0.0609941479983553,0.130958023643528,1.13193223259232
"Limosilactobacillus",0.0124728636039012,0.527118287383742,0.298666199607505,0.910837486190776,1.14815499185941,0.401074193764492,0.563046464323229,1.5716829995106
"Lysinibacillus",0.856773738965621,0.933499745440154,0,0,-0.163318668965043,0.208885534626644,0.363062953041547,-0.485134836088195
"Megasphaera",0.603276636651691,0.829759900683612,0.543618253914996,0.910837486190776,0.314540559943333,0.871281441205194,0.921790510260567,0.298661943774656
"Mogibacterium",0.477694850313005,0.747745754283166,0.00713750471576707,0.260518922125498,-1.71028780461711,0.00103984975425397,0.00361471581240667,-3.03254600872427
"Mycoplasma",0.286842854555225,0.747745754283166,0.970248703105895,0.983724379537921,-0.0195975133631034,0.960843728353943,0.974188780136637,-0.26427499399941
"Neisseria",0.71451878354628,0.858395127985405,0.469589003547463,0.910837486190776,-0.996268439544646,4.06491990734281e-07,2.96739153236025e-06,-1.97026298523875
"Olsenella",0.472203892770991,0.747745754283166,0.520225152361124,0.910837486190776,0.323852879244926,0.32697229224075,0.51889081159945,0.360818473997027
"Oribacterium",0.235909740466928,0.747745754283166,0.022564764937107,0.444831183896904,-1.36513302353651,0.00378889284672312,0.0125722353550358,-2.43130066927247
"Ottowia",0.19751232514922,0.747745754283166,0.853934699084524,0.910837486190776,0.0831418998457318,0.0304598506089273,0.0765176063524241,-0.0455430174976605
"Parvimonas",0.548497371441065,0.808484915565664,0.414042337201836,0.910837486190776,-0.839075663468381,0.0115538409727527,0.0326379140536046,-1.66900990735022
"Peptidiphaga",0.231086990755821,0.747745754283166,0.428348497521623,0.910837486190776,-0.322782758664608,0.346208334423392,0.519443847390965,-0.813757362674467
"Peptostreptococcaceae_[G-1]",0.975159121643346,0.982600870427279,0.540010087181083,0.910837486190776,-0.357232724342493,0.515441568973128,0.648246724631693,-0.936512324189116
"Peptostreptococcus",0.479692121753541,0.747745754283166,0.759150119446178,0.910837486190776,0.259418369355042,0.134060618523294,0.253430004695687,0.223576343048129
"Phocaeicola",0.124393147969113,0.747745754283166,0.28465611572448,0.910837486190776,-0.462002882837941,0.348667787974758,0.519443847390965,-0.959624406316859
"Porphyromonas",0.454734213817387,0.747745754283166,0.542048912330016,0.910837486190776,0.876499522764318,0.000100978909119753,0.000460716272858874,1.16775505129585
"Prevotella",0.353301302817828,0.747745754283166,0.293757670621349,0.910837486190776,1.22594646632459,7.10507652712522e-10,1.03734117296028e-08,1.65087376717146
"Pseudoleptotrichia",0.63819255373118,0.829759900683612,0.537686275539934,0.910837486190776,0.336779532679915,0.926916996782112,0.966642010929916,0.396474990723262
"Pseudomonas",0.118352806490881,0.747745754283166,0.130919718777286,0.910837486190776,-1.2053614701239,0.420098880440546,0.578626759852073,-2.07644260002166
"Pyramidobacter",0.133536735169953,0.747745754283166,0.956986801093666,0.983724379537921,-0.0275323742851316,0.143785028261561,0.256007489343755,-0.207548991455009
"Rothia",0.718053549438925,0.858395127985405,0.799959795700248,0.910837486190776,-0.340488701216003,1.96080929271147e-10,3.57847695919844e-09,-0.69364337424361
"Saccharibacteria_(TM7)_[G-1]",0.312865633075833,0.747745754283166,0.227657823962799,0.910837486190776,-1.09525520606342,0.0006627555858848,0.00241905788847952,-2.01204679952682
"Saccharibacteria_(TM7)_[G-3]",0.355478560897848,0.747745754283166,0.186846122184224,0.910837486190776,-0.93989181971528,0.263884249520293,0.447989539883287,-1.74745520671513
"Scardovia",0.433763612381828,0.747745754283166,0.776698680646069,0.910837486190776,0.283014841560895,0.270712963308633,0.449137416398414,0.263498696086756
"Schaalia",0.799847063011009,0.884679327269752,0.643691646948665,0.910837486190776,-0.622251886663458,3.21458328758073e-05,0.000167617557138138,-1.18329155555123
"Selenomonas",0.740521529595715,0.858395127985405,0.345020548607177,0.910837486190776,-0.709243485219149,0.0196592175515393,0.0531526993060137,-1.48137685149692
"Shuttleworthia",0.405283481622448,0.747745754283166,0.692651820029048,0.910837486190776,0.2449968462835,0.5239254349763,0.648246724631693,0.214953763681205
"Slackia",0.23003969479585,0.747745754283166,0.244282065926564,0.910837486190776,0.788443814887864,0.503301125386259,0.648246724631693,1.0299458068952
"Solobacterium",0.127596438650043,0.747745754283166,0.00580642871976554,0.260518922125498,-2.71641239498986,1.29269031035051e-08,1.57277321092645e-07,-4.51076572001687
"Staphylococcus",0.46826268902473,0.747745754283166,0.989440635938976,0.989440635938976,-0.0103607993849492,0.96026239846119,0.974188780136637,-0.257765763963601
