"Taxa","Unadjusted","Adjusted"
"Abiotrophia","*",""
"Acinetobacter","*",""
"Actinomyces","*",""
"Alloscardovia","+*^","+^"
"Anaeroglobus","+*^","+^"
"Arachnia","+^","+^"
"Campylobacter","*",""
"Capnocytophaga","*",""
"Catonella","*",""
"Cryptobacterium","*",""
"Desulfobulbus","*",""
"Eggerthia","*",""
"Escherichia","*","*"
"Fusobacterium","*",""
"Gemella","*",""
"Granulicatella","*","*"
"Haemophilus","*",""
"Kingella","*",""
"Lachnoanaerobaculum","*",""
"Lancefieldella","*",""
"Lautropia","*",""
"Leptotrichia","*","$"
"Ligilactobacillus","*",""
"Lysinibacillus","+^","+^"
"Mogibacterium","*",""
"Neisseria","*",""
"Oribacterium","*",""
"Ottowia","*",""
"Parvimonas","*",""
"Porphyromonas","*",""
"Prevotella","*",""
"Pseudomonas","","$"
"Rothia","*","$*"
"Saccharibacteria_(TM7)_[G-1]","*",""
"Schaalia","*",""
"Selenomonas","*",""
"Solobacterium","*","$"
"Stomatobaculum","*",""
"Streptococcus","*","*"
"Veillonella","*","$*"
