"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"N10-formyl-tetrahydrofolate biosynthesis (1CMET2-PWY)",0.193710693666146,0.357721574319765,0.609696495815833,0.974947911249902,0.439061693225548,2.64832600294085e-12,4.33079193422092e-11,0.585596577881464
"aerobactin biosynthesis (AEROBACTINSYN-PWY)",0.158389847399374,0.319750047859003,0.981210973187418,0.993884375195641,-0.0228071906059712,1.22588757633935e-05,3.66448114217568e-05,-0.0494325782256368
"homolactic fermentation (ANAEROFRUCAT-PWY)",0.044990333517073,0.150690514671642,0.0417084536491316,0.351362124680563,-1.44867746443505,0.0287579088664749,0.0444149925826668,-2.31019807174093
"glycolysis III (from glucose) (ANAGLYCOLYSIS-PWY)",0.549870161468739,0.749332867099557,0.637692805744885,0.974947911249902,0.22369814030453,9.93463178400322e-06,3.02856004412952e-05,0.159220089243505
"superpathway of arginine and polyamine biosynthesis (ARG+POLYAMINE-SYN)",0.00535080832325231,0.0371881178466035,0.510218330441192,0.974947911249902,-0.427981951850432,0.0144461779045315,0.0247903546756775,-0.878766795028779
"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)",0.00963365944545186,0.0564337804875554,0.21081843375513,0.902456864144022,-0.850339510247439,0.00185366862003966,0.00370733724007932,-1.5101370698563
"arginine, ornithine and proline interconversion (ARGORNPROST-PWY)",0.520873426158976,0.727652323980882,0.2891679324243,0.908089331390788,0.767407940513989,5.10702591327572e-15,1.5775035598785e-13,1.27166085417727
"L-arginine biosynthesis I (via L-ornithine) (ARGSYN-PWY)",0.821555711774241,0.927904202728328,0.411169656202817,0.974947911249902,0.338009504151427,0.79759546085247,0.836567397381194,0.3240198503394
"L-arginine biosynthesis II (acetyl cycle) (ARGSYNBSUB-PWY)",0.861767143196392,0.943092208394916,0.487658622954831,0.974947911249902,0.471081161385581,0.847818646793628,0.872939199291217,0.518504515575524
"chorismate biosynthesis I (ARO-PWY)",0.564264265370581,0.757804182478365,0.720939677380268,0.974947911249902,0.16692499017814,3.64694304844093e-06,1.19276490290186e-05,0.0773101696310539
"superpathway of L-aspartate and L-asparagine biosynthesis (ASPASN-PWY)",0.122719127100224,0.291589037041557,0.811375970551722,0.993667488164664,-0.106184388989283,0.773784335730649,0.821038340966108,-0.31717772298878
"L-arginine degradation II (AST pathway) (AST-PWY)",0.0526170368386992,0.167538081704577,0.204018105480539,0.902456864144022,-1.34753812777561,0.0159401996292661,0.0268568211935513,-2.26252693929696
"biotin biosynthesis I (BIOTIN-BIOSYNTHESIS-PWY)",0.0439576650744299,0.149027205984043,0.277821816865687,0.908089331390788,-1.08264982471034,0.0631544686774577,0.0943921628620066,-1.83435906078225
"superpathway of branched amino acid biosynthesis (BRANCHED-CHAIN-AA-SYN-PWY)",0.0720319910946822,0.203115273194766,0.934338991832349,0.99381282719248,-0.0363872776805422,2.70116050615776e-06,9.04726049050431e-06,-0.216011989993922
"Calvin-Benson-Bassham cycle (CALVIN-PWY)",0.00418183742664703,0.0339461986475037,0.144394254480169,0.819216382560956,0.648808501901511,1.81316098870621e-05,5.30588163010869e-05,0.772537748761114
"catechol degradation to &beta;-ketoadipate (CATECHOL-ORTHO-CLEAVAGE-PWY)",0.216368776546344,0.37390348504148,0.535898525201917,0.974947911249902,-0.703398650914045,2.55535204509716e-05,7.24885580139806e-05,-1.18228458141163
"coenzyme A biosynthesis I (COA-PWY)",0.35253772874638,0.541466787798307,0.00249415453267518,0.0533365353910539,-1.90359426088265,0.0121371568485695,0.0214912713624352,-2.92421464121626
