"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"N10-formyl-tetrahydrofolate biosynthesis (1CMET2-PWY)",0.0727669510130078,0.117813158782965,0.339777004842534,0.688771337270759,0.805129427431764,2.58704169198154e-12,2.9614236988588e-11,1.16356423423872
"aerobactin biosynthesis (AEROBACTINSYN-PWY)",0.536820603850487,0.605872216793911,0.700973359823402,0.888398094029859,-0.337147327023538,4.48916459561133e-11,4.07017590002094e-10,-0.503444339357763
"homolactic fermentation (ANAEROFRUCAT-PWY)",7.71922063096826e-07,3.77180087674678e-05,3.34344410090807e-06,0.000181883359089399,-1.99956657837047,0.000572253248998678,0.00127584330924295,-2.95719206076713
"glycolysis III (from glucose) (ANAGLYCOLYSIS-PWY)",0.41919640909209,0.497910145297154,0.825290835828548,0.942732440189776,-0.10857468235959,0.0121777702742457,0.0205736243142536,-0.117338074701314
"superpathway of arginine and polyamine biosynthesis (ARG+POLYAMINE-SYN)",1.41634349597002e-06,3.77180087674678e-05,0.00749173767849337,0.0536250696986894,-2.00791804126685,8.49878399877824e-08,3.3502452864749e-07,-3.13368148187781
"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)",1.80269894844515e-06,3.77180087674678e-05,0.00253536525390813,0.0265238211178082,-2.12399704736145,6.77553957384447e-09,3.47725804544471e-08,-3.32430595278036
"arginine, ornithine and proline interconversion (ARGORNPROST-PWY)",0.00165530999396071,0.00577236305586298,0.0227408090476549,0.134461381119089,1.58694660473584,7.7715611723761e-16,3.52310773147716e-14,2.69312752133095
"L-arginine biosynthesis I (via L-ornithine) (ARGSYN-PWY)",0.000109597148889173,0.000828067347162641,0.575593293464383,0.84510358256262,0.230832114440998,0.541166130383161,0.60574974265111,0.369092813091637
"L-arginine biosynthesis II (acetyl cycle) (ARGSYNBSUB-PWY)",0.0033571039211818,0.0104957731788672,0.511026445040209,0.832330497310999,0.376658192343865,0.531601100879294,0.599981325473726,0.567321620375061
"chorismate biosynthesis I (ARO-PWY)",0.00199690959013656,0.00654408925924271,0.928977683018318,0.981795573947814,0.0373123966876963,0.00223989420263249,0.00441486393562345,0.0931332344076298
"superpathway of L-aspartate and L-asparagine biosynthesis (ASPASN-PWY)",0.00364166824306536,0.0111295928327391,0.622533272131341,0.863923724590432,-0.209530285436048,0.862802893166117,0.878960250716044,-0.266889127506697
"L-arginine degradation II (AST pathway) (AST-PWY)",2.36347677560548e-06,4.05732857366541e-05,0.00421570954896288,0.0382224332439301,-3.06574125487301,1.75588252493419e-07,6.28421114186975e-07,-4.73861908410669
"biotin biosynthesis I (BIOTIN-BIOSYNTHESIS-PWY)",0.0683748515006459,0.112714906716216,0.039655281249353,0.17121010317181,-2.40692058921403,4.13942467054618e-05,0.000105357273501758,-3.74110227938765
"superpathway of branched amino acid biosynthesis (BRANCHED-CHAIN-AA-SYN-PWY)",0.0125286375556978,0.0315257722175087,0.984101520752246,0.997124774926796,-0.00871382805033954,0.00180834167195898,0.00361668334391796,0.0267290227861423
"Calvin-Benson-Bassham cycle (CALVIN-PWY)",0.000303937650521199,0.00183713424315036,0.616613634657913,0.863406957187925,0.23785078342092,0.0573648287215598,0.0843418022284555,0.382377820035994
"catechol degradation to &beta;-ketoadipate (CATECHOL-ORTHO-CLEAVAGE-PWY)",0.0279288429937663,0.0558576859875326,0.0348124560111516,0.163848184503781,-2.25879194280827,6.13825232864684e-08,2.49194721401782e-07,-3.62403649056115
"coenzyme A biosynthesis I (COA-PWY)",0.361288752544976,0.44067507036876,0.677544916489927,0.885453552408893,0.295897193737784,0.443438694321649,0.518819655952955,0.48030028622653
"adenosylcobalamin salvage from cobinamide I (COBALSYN-PWY)",0.00192263185183672,0.00637751053292181,0.537077407269429,0.834771741584484,-0.35737012251173,0.000328996346654509,0.000784973739386196,-0.507520611376127
"colanic acid building blocks biosynthesis (COLANSYN-PWY)",0.000447581591451537,0.00234119601682343,0.0410519909899587,0.174470961707324,-1.7157252795515,3.47182185245209e-06,1.04926171540774e-05,-2.60627371844351
"superpathway of aromatic amino acid biosynthesis (COMPLETE-ARO-PWY)",0.236375585592309,0.314030319576756,0.786226383062201,0.92178265600396,0.105067883847328,0.00600241981669269,0.0110314742577055,0.190884258796797
"L-lysine biosynthesis I (DAPLYSINESYN-PWY)",0.22887859942609,0.307056263725809,0.98041281629116,0.997124774926796,-0.0114765992901906,0.563731478124433,0.623142694813494,0.0226751771627322
"nitrate reduction I (denitrification) (DENITRIFICATION-PWY)",0.133916664036828,0.195835121602244,0.213719726596244,0.505493614210246,1.75657024587676,0.00671142840038008,0.0122517350664657,2.92205026868806
"dTDP-L-rhamnose biosynthesis I (DTDPRHAMSYN-PWY)",0.229163314471836,0.307056263725809,0.915248580725588,0.981425838747698,0.0508153092541843,0.0521179165152987,0.0774648813779304,0.112618923448622
"enterobacterial common antigen biosynthesis (ECASYN-PWY)",1.43682117304575e-06,3.77180087674678e-05,0.00486696384337736,0.041392851969505,-2.0417401251735,1.33513473610236e-08,6.35159499555114e-08,-3.18698012720742
"fatty acid &beta;-oxidation I (FAO-PWY)",0.0160090089520099,0.0385349596012981,0.433456117484928,0.760645573909036,0.586003199310204,1.94807806574993e-06,6.38406305884313e-06,0.645351089181865
"fatty acid elongation -- saturated (FASYN-ELONG-PWY)",0.0335048926072675,0.0641783858392729,0.175803826616747,0.430798566123921,-1.05454950849918,0.141075910651054,0.189963602460825,-1.48982345268046
"superpathway of fatty acid biosynthesis initiation (E. coli) (FASYN-INITIAL-PWY)",0.498989160166019,0.570273325904022,0,0,2.32382498941272,2.24487095579207e-13,2.90764238083544e-12,3.86776367871585
"mixed acid fermentation (FERMENTATION-PWY)",0.00841205269331289,0.0226542409166446,0.153307591109734,0.419600701648953,-0.893848378634286,0.042699180528557,0.0648836709707682,-1.28736103881001
"superpathway of tetrahydrofolate biosynthesis and salvage (FOLSYN-PWY)",0.000630349855699627,0.00295612346121204,0.030400657785627,0.156018470145105,-1.78012282710018,2.34301078039234e-06,7.58689205079425e-06,-2.73836170197365
"superpathway of fucose and rhamnose degradation (FUC-RHAMCAT-PWY)",1.06170052426775e-06,3.77180087674678e-05,0.038180604470695,0.170247941246378,-1.34089782324153,1.28317356740126e-11,1.39609284133257e-10,-2.1231127252596
"fucose degradation (FUCCAT-PWY)",0.000291174727708894,0.0017999892258368,0.000127759318197604,0.00217190840935927,-1.80022170981754,0.00389141008860983,0.00740184296574736,-2.56126034043765
"D-galactarate degradation I (GALACTARDEG-PWY)",7.77345914473561e-06,0.000105719044368404,0.465848028963289,0.777366036061439,-0.57851327327864,2.65630362150659e-09,1.68026647685999e-08,-1.09157264681575
"D-galacturonate degradation I (GALACTUROCAT-PWY)",0.00964979023883033,0.0254829412132218,0.390006611243663,0.747054917311805,0.713442606585783,0.00262807772941098,0.00510597958856991,1.01385089428672
"gallate degradation II (GALLATE-DEGRADATION-I-PWY)",0.0277746235929494,0.0558576859875326,0.344385668635379,0.688771337270759,-0.339505316513057,5.88418203051333e-15,1.60049751229963e-13,-0.580542643851743
"gallate degradation I (GALLATE-DEGRADATION-II-PWY)",0.0277746235929494,0.0558576859875326,0.344385668635379,0.688771337270759,-0.339505316513057,5.88418203051333e-15,1.60049751229963e-13,-0.580542643851743
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation (GLCMANNANAUT-PWY)",0.0202048981784728,0.044680750443452,0.0245776311649509,0.136430932180952,-1.2599794145365,0.0987597466930747,0.139184720728064,-1.77926354611115
"D-glucarate degradation I (GLUCARDEG-PWY)",3.53369252811589e-05,0.000355986802832416,0.106675600566934,0.362697041927575,-0.965854133719813,2.6164264088635e-09,1.68026647685999e-08,-1.60812666663645
"superpathway of D-glucarate and D-galactarate degradation (GLUCARGALACTSUPER-PWY)",7.77345914473561e-06,0.000105719044368404,0.465848028963289,0.777366036061439,-0.57851327327864,2.65630362150659e-09,1.68026647685999e-08,-1.09157264681575
