"Taxa","Unadjusted","Adjusted"
"(5Z)-dodec-5-enoate biosynthesis (PWY0-862)","+*",""
"1,4-dihydroxy-6-naphthoate biosynthesis I (PWY-7374)","*","*"
"1,4-dihydroxy-6-naphthoate biosynthesis II (PWY-7371)","*","+*"
"2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis (PWY-6660)","*","*"
"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation (PWY0-1277)","$+*","$*"
"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate (HCAMHPDEG-PWY)","$+*","$*"
"3-phenylpropanoate degradation (P281-PWY)","*","*"
"4-aminobutanoate degradation V (PWY-5022)","*","*"
"4-deoxy-L-threo-hex-4-enopyranuronate degradation (PWY-6507)","$*","$+*"
"4-methylcatechol degradation (ortho cleavage) (PWY-6185)","+*","*"
"5-aminoimidazole ribonucleotide biosynthesis I (PWY-6121)","$*","*"
"5-aminoimidazole ribonucleotide biosynthesis II (PWY-6122)","$*","*"
"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I (PWY-6147)","*",""
"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia) (PWY-7539)","+*",""
"8-amino-7-oxononanoate biosynthesis I (PWY-6519)","+*","*"
"acetylene degradation (P161-PWY)","+*","$*"
"adenine and adenosine salvage III (PWY-6609)","*","*"
"adenosine deoxyribonucleotides de novo biosynthesis II (PWY-7220)","*","$"
"adenosine nucleotides degradation II (SALVADEHYPOX-PWY)","$*","$*"
"adenosine ribonucleotides de novo biosynthesis (PWY-7219)","*","*"
"adenosylcobalamin salvage from cobinamide I (COBALSYN-PWY)","*","$*"
"ADP-L-glycero-&beta;-D-manno-heptose biosynthesis (PWY0-1241)","*",""
"aerobactin biosynthesis (AEROBACTINSYN-PWY)","*","*"
"allantoin degradation IV (anaerobic) (PWY0-41)","+*","$*"
"allantoin degradation to glyoxylate III (PWY-5705)","+*","$*"
"anhydromuropeptides recycling (PWY0-1261)","+*","$+*"
"arginine, ornithine and proline interconversion (ARGORNPROST-PWY)","*","$*"
"aromatic compounds degradation via &beta;-ketoadipate (PWY-5431)","*","*"
"Bifidobacterium shunt (P124-PWY)","*","*"
"biotin biosynthesis I (BIOTIN-BIOSYNTHESIS-PWY)","+*","*"
"biotin biosynthesis II (PWY-5005)","*","$"
"caffeine degradation III (bacteria, via demethylation) (PWY-6538)","$*","*"
"Calvin-Benson-Bassham cycle (CALVIN-PWY)","*","$"
"catechol degradation III (ortho-cleavage pathway) (PWY-5417)","*","*"
"catechol degradation to &beta;-ketoadipate (CATECHOL-ORTHO-CLEAVAGE-PWY)","*","*"
"CDP-diacylglycerol biosynthesis I (PWY-5667)","*",""
"CDP-diacylglycerol biosynthesis II (PWY0-1319)","*",""
"chorismate biosynthesis from 3-dehydroquinate (PWY-6163)","*","$*"
"chorismate biosynthesis I (ARO-PWY)","*","$*"
"cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate (PWY-6690)","$+*","$*"
"cis-vaccenate biosynthesis (PWY-5973)","*",""
"CMP-legionaminate biosynthesis I (PWY-6749)","*",""
"CMP-pseudaminate biosynthesis (PWY-6143)","*","*"
"coenzyme A biosynthesis I (COA-PWY)","*",""
"colanic acid building blocks biosynthesis (COLANSYN-PWY)","+*","$*"
"D-fructuronate degradation (PWY-7242)","*","*"
"D-galactarate degradation I (GALACTARDEG-PWY)","+*","$*"
"D-galacturonate degradation I (GALACTUROCAT-PWY)","$*","*"
"D-galacturonate degradation II (PWY-6486)","*","*"
"D-glucarate degradation I (GLUCARDEG-PWY)","+*","$*"
"dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis (PWY-6953)","*","+*"
"dTDP-6-deoxy-&alpha;-D-allose biosynthesis (PWY-7413)","*","*"
"dTDP-D-&beta;-fucofuranose biosynthesis (PWY-7312)","*","*"
"dTDP-L-rhamnose biosynthesis I (DTDPRHAMSYN-PWY)","*",""
"dTDP-N-acetylthomosamine biosynthesis (PWY-7315)","+*","*"
"dTDP-N-acetylviosamine biosynthesis (PWY-7316)","*","*"
