"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"Abiotrophia",0.0616988432350481,0.171385675652911,0.0098311582744539,0.0708627579752218,-3.49278319841635,0.0127466959728391,0.0516576626267688,-5.32237354194423
"Acinetobacter",0.741655705336569,0.856626841869093,0.414353375123471,0.69359151922842,-0.439943947571444,0.616857714690512,0.872003669056698,-0.700480568636541
"Actinomyces",0.168563750554061,0.294006541664059,0.413904701629218,0.69359151922842,0.856096634070128,0.363068221271282,0.653620198649141,1.4162301690392
"Aggregatibacter",0.0511561565470522,0.159862989209538,0.896014658003529,0.944572100877627,0.125271473672914,0.662268790648543,0.872003669056698,0.0736124600966326
"Alloprevotella",0.0202490567526145,0.0949174535278803,0.000221405343029942,0.0056827371377685,2.91913908028893,0.000401511310798019,0.00309163709314475,4.73544610026409
"Alloscardovia",0.0881985974465303,0.218462884675733,0,0,1.57246965550916,0.0265859562139557,0.0852966095197744,2.50696418666994
"Anaeroglobus",4.36956438844154e-06,0.000163858664566558,0.322037755260246,0.652550188290498,1.22716703539673,0.182784126668151,0.413952286866106,1.81354855825972
"Arachnia",0.850070112112076,0.914041935737216,0,0,-1.88325506044996,0.00158911995615429,0.0101968530519901,-3.23391281707388
"Bacteroidales_[G-2]",0.0902979923326363,0.218462884675733,0.0400451315549261,0.192717195608082,-1.16036938922218,0.127036721120089,0.303025275852088,-2.04933083431148
"Bifidobacterium",0.533599584631843,0.702104716620846,0.344973887474039,0.681102290653872,1.00918671609793,0.642343964211538,0.872003669056698,1.37363330361064
"Bosea",0.182683463573445,0.304778496969825,0.609750056769367,0.830387399203497,0.675711351809789,0.680848331271287,0.873755358464818,0.92995188911061
"Burkholderia",0.793318171227945,0.888042728986505,0.114291832075831,0.366686294576625,-1.04750803628731,0.54097090507345,0.863337034445686,-1.73336157887909
"Campylobacter",0.0345296474063592,0.125617030366615,0.0603842681402337,0.273505214517529,1.14388082299273,0.0171036501146248,0.0658490529413054,1.82046500371837
"Capnocytophaga",1.69592764593182e-07,1.27194573444887e-05,0.847951097555202,0.932652827246614,-0.195591024624255,0.0426005480653927,0.118364692711414,-0.140684572666091
"Cardiobacterium",0.102028231190635,0.225062274685225,0.00206700889856333,0.0213647293013656,-2.26558073219976,0.000395415531952326,0.00309163709314475,-3.72026925016757
"Catonella",0.345879090746121,0.49886407319152,0.147333180743251,0.450931520170768,-0.714063337873085,0.129867975365181,0.303025275852088,-1.22640116693386
"Cloacibacterium",0.00552514103070695,0.0460428419225579,0.0907412174949513,0.321716999798231,-1.43335212835908,0.106485711341245,0.264496766879866,-2.51302425667213
"Corynebacterium",0.00316291794351021,0.0370957221402817,0.78592168621915,0.908712356191048,0.301958967029135,0.773636812135282,0.889104993050996,0.5172923974972
"Cryptobacterium",0.402768217120789,0.559400301556651,0.574187360150455,0.830387399203497,0.591506772122605,0.586599361926855,0.868618285930151,0.893942510523062
"Desulfovibrio",0.913809612495089,0.92615839104232,0.871501936586485,0.932652827246614,-0.0824358958423065,0.603347025570219,0.872003669056698,-0.103568777643673
"Dialister",0.0563861390261309,0.162652324113839,0.293995776848627,0.652550188290498,1.08907811735752,0.302171344495042,0.596594705797903,1.73008664288924
"Eikenella",0.0121014625575438,0.069816130139676,0.581096315035827,0.830387399203497,-0.476267958069631,0.823857566294886,0.893479332460651,-0.845455655543944
"Escherichia",2.7412380239734e-05,0.000685309505993349,0.0381749088411791,0.192717195608082,-1.81040643459859,0.000371953056268248,0.00309163709314475,-2.90915607967124
"Fusobacterium",0.0146563136020099,0.0732815680100495,0.219737818658497,0.512721576869827,0.98906729403504,0.360194369549877,0.653620198649141,1.71313505107849
"Gemella",0.498654765865036,0.667841204283531,0.58644960153102,0.830387399203497,1.02790442247015,0.0051326118700239,0.0232477125877553,1.31414006579476
"Granulicatella",0.033441892692837,0.125617030366615,2.61787364311725e-05,0.00201576270520028,-1.96183997716287,2.81044544336861e-06,5.41010747848458e-05,-3.17337907681622
"Haemophilus",0.333630513915435,0.49063310869917,0.202988433011926,0.511415655537155,-2.00641164724738,0.00413041452114626,0.0198776198830164,-3.28143787150616
"Kingella",0.00685469071958157,0.0514101803968618,0.512520311712788,0.805389061262952,0.493882303715298,0.819846386360949,0.893479332460651,0.741186733077107
"Klebsiella",0.0262436403342963,0.115780766180719,0.0142805209420915,0.0916333427117535,-1.49857473008913,0.296746402296867,0.596594705797903,-2.50670688014846
"Kluyvera",0.122741563796867,0.242253086441185,0.0701862466180772,0.300241166088441,-1.66556833298472,0.0226204331674451,0.0811120342865918,-2.88030627123853
"Lachnoanaerobaculum",0.322255311066605,0.483382966599908,0.491562315700989,0.788589355052977,-0.567886506512268,0.766770337020932,0.889104993050996,-0.898584312274234
"Lacticaseibacillus",0.749730536966145,0.856626841869093,0.374313268823443,0.685246705403448,-0.889624072582632,0.381985830379368,0.653620198649141,-1.47398989194384
"Lactobacillus",0.00985838315346869,0.0672162487736501,0.317973894947301,0.652550188290498,-0.688731767550448,0.664789381485547,0.872003669056698,-1.16581092740942
"Lancefieldella",0.30280244108745,0.463473124113444,0.111871355541383,0.366686294576625,2.01677785762729,0.00403444086535831,0.0198776198830164,2.93721413250648
"Lautropia",0.0131225016151172,0.0702991157952706,0.00152927115789125,0.019625646526271,-2.89817942149783,0.00408605784690352,0.0198776198830164,-4.66522021975793
"Leptotrichia",0.211843220707419,0.338047692618221,0.3205040086667,0.652550188290498,-0.998778476768202,0.0540410544700133,0.138705373139701,-1.52925647321833
"Ligilactobacillus",0.097083953933469,0.220645349848793,0.912683778814686,0.944572100877627,-0.0808400543257055,0.981018590639244,0.981018590639244,-0.271433330009002
"Limosilactobacillus",NA,NA,0.872090955347483,0.932652827246614,0.230458797064623,0.908981849052797,0.920942136540334,0.245604636517095
"Megasphaera",0.00384477116911519,0.0370957221402817,0.00221971213520681,0.0213647293013656,2.0504758379798,0.024173441304852,0.0811120342865918,3.3506857644748
"Mogibacterium",0.0466383673183298,0.158994434039761,0.0793279003162022,0.305412416217379,1.39129393576842,0.0242282699817092,0.0811120342865918,2.23488621047591
"Mycobacterium",0.00395687702829671,0.0370957221402817,0,0,3.50738757071699,5.07368195437063e-05,0.000651122517477565,5.64938406918163
"Mycoplasma",0.553209989220058,0.715357744681109,0.577508092106424,0.830387399203497,0.380301827943994,0.753666408084489,0.889104993050996,0.527562480710448
"Neisseria",0.119166619415209,0.242253086441185,0.986227542568591,0.996643399081831,-0.0302747806674829,0.00201979450075052,0.0119633981967531,-0.50816926312738
"Olsenella",0.463120467134665,0.631527909729089,0.996643399081831,0.996643399081831,0.00527202291245277,0.795450869094431,0.893479332460651,-0.0959787637729331
"Oribacterium",0.0114118003934872,0.069816130139676,0.777146970268319,0.908712356191048,-0.273953732339134,0.038281047080615,0.113370793277206,-0.53158977101587
"Ottowia",0.995429785679199,0.995429785679199,0.193424370967045,0.511415655537155,-0.686111793601439,0.334683048983884,0.644264869293977,-1.16796795728292
"Parascardovia",0.707936648593945,0.842781724516601,0.205894614566907,0.511415655537155,-0.582915968219192,0.407605094079203,0.676576313190051,-0.991312894972562
"Parvimonas",0.134541232382563,0.250898864748836,0.770602268422796,0.908712356191048,0.153542562077571,0.895155084074276,0.919025886316257,0.153771649117696
"Peptidiphaga",0.128972224818938,0.248023509267188,0.0230954805008678,0.127025142754773,-1.2930241701222,0.0439690123550438,0.118364692711414,-2.19133024726207
"Peptostreptococcaceae_[G-1]",0.119760363251334,0.242253086441185,0.359297013645573,0.685246705403448,0.685988146819951,0.274134345797155,0.570495800712998,0.882843668535845
"Peptostreptococcaceae_[G-5]",0.605022889248812,0.743880601535425,0.614702360449342,0.830387399203497,0.407259636202553,0.381649896198981,0.653620198649141,0.630204385126067
"Peptostreptococcaceae_[G-9]",0.845218418391347,0.914041935737216,0.171637493571692,0.472003107322153,-0.623294220993159,0.241549241974483,0.5222191670026,-1.0829000253996
"Peptostreptococcus",0.0495795666675213,0.159862989209538,0.367385972109253,0.685246705403448,-0.81538261058973,0.549396294647254,0.863337034445686,-1.38697803998237
"Phocaeicola",0.200698166744389,0.327225271865852,0.692849356111214,0.889156673676058,0.319117557947963,0.656289079360723,0.872003669056698,0.455686250237321
"Porphyromonas",0.0871296994650405,0.218462884675733,0.00807179784137375,0.0690587148650866,2.64561779741528,0.000246744787993136,0.0027141926679245,3.92386057968566
"Prevotella",0.0560853399966761,0.162652324113839,0.000156523972625409,0.0056827371377685,3.90711532506784,7.78096846509868e-06,0.00011982691436252,5.5451267145801
"Pseudoleptotrichia",0.0335788029293604,0.125617030366615,0.215665639162767,0.512721576869827,-0.946575486915888,0.578747803436352,0.868618285930151,-1.4509550608013
"Pseudomonas",NA,NA,0.0212781010253986,0.126031829150438,-3.22509270492442,0.0358729045146612,0.110488545905156,-5.42404673098381
"Pyramidobacter",0.753831620844802,0.856626841869093,0.804980556966089,0.911522101270425,0.153374935464572,0.751156900075933,0.889104993050996,0.255653719361128
"Rothia",0.658323235218875,0.796358752280897,0.544179680311269,0.830387399203497,0.707084527914161,2.48062851948561e-06,5.41010747848458e-05,0.779799131865418
"Saccharibacteria_(TM7)_[G-1]",0.140503364259348,0.250898864748836,0.635677095858489,0.843916144501787,-0.619554489009752,0.0445789102419611,0.118364692711414,-1.08172489387746
"Saccharibacteria_(TM7)_[G-3]",0.137837879888532,0.250898864748836,0.395115550529488,0.691452213426603,-0.764071443825168,0.374127967715237,0.653620198649141,-1.18122463837193
"Scardovia",0.0351727685026522,0.125617030366615,0.491588169383674,0.788589355052977,0.810009253748574,0.803591265877504,0.893479332460651,1.10259802826121
"Schaalia",0.5966410091918,0.743880601535425,0.319484962282493,0.652550188290498,1.39357651138151,0.00117546027006665,0.00822822189046657,1.9658949884583
"Selenomonas",0.0702762009202009,0.188239823893395,0.152262591226493,0.450931520170768,1.08506950483523,0.412975152206914,0.676576313190051,1.67192822055238
"Shuttleworthia",0.359015920798523,0.508041397356401,0.0101232511393174,0.0708627579752218,-0.987695169811075,0.244154415741475,0.5222191670026,-1.69572289789268
"Slackia",0.900528999028148,0.92615839104232,0.669611803629395,0.87390015049938,-0.262299972475389,0.668158655510977,0.872003669056698,-0.373174600224615
"Sneathia",0.909838528373047,0.92615839104232,0.790697764477925,0.908712356191048,-0.12593439033131,0.732234637973004,0.889104993050996,-0.220780646989986
"Solobacterium",0.000188855237854414,0.00297383784994165,0.0776808906569994,0.305412416217379,-2.23609739205458,0.00896318925393835,0.0383425318085141,-3.73404744157536
"Sphingomonas",0.0942686908965342,0.220645349848793,0.723673860481828,0.899740144863692,0.193383627341718,0.867190044650255,0.902346397811751,0.260275475450907
"Staphylococcus",0.182867098181895,0.304778496969825,0.599229684147999,0.830387399203497,0.448421534694495,0.844457696908581,0.902346397811751,0.602513038704306
"Stenotrophomonas",0.868816609994119,0.917764024641675,0.724466090669466,0.899740144863692,0.365272024322733,0.866047073761063,0.902346397811751,0.49027182364788
"Stomatobaculum",0.252629493339245,0.39473358334257,0.920037760595091,0.944572100877627,-0.0939769371275273,0.762124718064012,0.889104993050996,-0.155364307820101
"Streptococcus",0.000198255856662777,0.00297383784994165,0.0919191427994945,0.321716999798231,-1.51651533799916,0,0,-2.4946947180655
"Tannerella",0.600905937544464,0.743880601535425,0.83026217453179,0.926524455636926,-0.167937947612581,0.693874559078664,0.875874443427166,-0.404022818216961
"Treponema",0.11114738238366,0.2381729622507,0.382670238082445,0.685246705403448,0.752493013986201,0.579213651247358,0.868618285930151,1.0884320269064
"Veillonella",0.853105806688068,0.914041935737216,0.747079917060634,0.908712356191048,-0.249603331017199,1.76301016674429e-07,6.78758914196553e-06,-0.672206998170413
