"Taxa","Unadjusted","Adjusted"
"Abiotrophia","$*","$+*"
"Acinetobacter","*",""
"Actinomyces","*",""
"Aggregatibacter","$+*","$"
"Alloprevotella","+*","$+*"
"Alloscardovia","+*^","+*^"
"Anaeroglobus","$","$"
"Arachnia","+*^","+*^"
"Bacteroidales_[G-2]","$","+"
"Bifidobacterium","*",""
"Campylobacter","*","$*"
"Capnocytophaga","$*","$*"
"Cardiobacterium","*","+*"
"Catonella","*",""
"Cloacibacterium","*","$"
"Corynebacterium","$*","$"
"Desulfovibrio","*",""
"Dialister","*","$"
"Eikenella","$","$"
"Escherichia","$+*","$+*"
"Fusobacterium","*","$"
"Gemella","*","*"
"Granulicatella","$*","$+*"
"Haemophilus","$*","*"
"Kingella","$+*","$"
"Klebsiella","$","$+"
"Kluyvera","","*"
"Lachnoanaerobaculum","*",""
"Lactobacillus","","$"
"Lancefieldella","+*","*"
"Lautropia","$*","$+*"
"Leptotrichia","*","*"
"Ligilactobacillus","+*",""
"Limosilactobacillus","$",""
"Megasphaera","+*","$+*"
"Mogibacterium","*","$*"
"Mycobacterium","+*^","$+*^"
"Neisseria","*","*"
"Oribacterium","$*","$*"
"Ottowia","*",""
"Parascardovia","*",""
"Parvimonas","*",""
"Peptidiphaga","","+*"
"Peptostreptococcaceae_[G-1]","*",""
"Peptostreptococcaceae_[G-5]","+*",""
"Peptostreptococcaceae_[G-9]","*",""
"Peptostreptococcus","$*","$"
"Porphyromonas","*","+*"
"Prevotella","+*","$+*"
"Pseudoleptotrichia","","$"
"Pseudomonas","","+*"
"Rothia","*","*"
"Saccharibacteria_(TM7)_[G-1]","*","*"
"Saccharibacteria_(TM7)_[G-3]","$*",""
"Scardovia","*","$"
"Schaalia","*","*"
"Selenomonas","*","$"
"Shuttleworthia","","+"
"Sneathia","+*",""
"Solobacterium","+*","$*"
"Stomatobaculum","*",""
"Streptococcus","*","$*"
"Veillonella","*","*"
