"Taxa","Unadjusted","Adjusted"
"Abiotrophia defectiva","*","+*"
"Actinomyces gerencseriae","+*^","+*^"
"Actinomyces graevenitzii","+*","$"
"Aggregatibacter segnis","+*",""
"Alloprevotella rava","+*","$+*"
"Alloprevotella tannerae","+*",""
"Alloscardovia omnicolens","+*^","+*^"
"Anaeroglobus geminatus","$*","$"
"Arachnia propionica","+*^","+*^"
"Bacteroidales_[G-2] bacterium_HMT_274","","+"
"Bifidobacterium dentium","*","$"
"Bifidobacterium longum","","+"
"Burkholderia cepacia","*","+"
"Campylobacter concisus","*","*"
"Campylobacter gracilis","*",""
"Capnocytophaga endodontalis","","+"
"Capnocytophaga gingivalis","+*^","+^"
"Capnocytophaga leadbetteri","*","$"
"Capnocytophaga sputigena","*",""
"Cardiobacterium hominis","*","+*"
"Catonella morbi","","+"
"Cloacibacterium normanense","*","$+"
"Corynebacterium durum","","+"
"Dialister invisus","*",""
"Dialister pneumosintes","+*",""
"Eikenella corrodens","*",""
"Escherichia coli","$+*","$+*"
"Fusobacterium nucleatum_subsp._polymorphum","*",""
"Granulicatella adiacens","*","+*"
"Granulicatella elegans","*",""
"Haemophilus haemolyticus","*",""
"Haemophilus parahaemolyticus","+*","*"
"Haemophilus parainfluenzae","*",""
"Kingella oralis","*",""
"Klebsiella pneumoniae","*","$+"
"Kluyvera ascorbata","","+*"
"Lancefieldella parvula","*","*"
"Lautropia mirabilis","*","+*"
"Leptotrichia sp._HMT_217","*",""
"Leptotrichia wadei","","$+"
"Ligilactobacillus salivarius","*",""
"Limosilactobacillus fermentum","$",""
"Megasphaera micronuciformis","+*","$+*"
"Mycobacterium tuberculosis","+*^","$+*^"
"Neisseria bacilliformis","","+"
"Neisseria elongata","","+*"
"Neisseria oralis","","+"
"Olsenella sp._HMT_807","*",""
"Oribacterium asaccharolyticum","*",""
"Ottowia sp._HMT_894","","+"
"Parascardovia denticolens","","+"
"Peptidiphaga sp._HMT_183","+*^","+*^"
"Peptostreptococcaceae_[G-1] [Eubacterium]_infirmum","","+*"
"Peptostreptococcaceae_[G-5] [Eubacterium]_saphenum","*",""
"Peptostreptococcaceae_[G-9] [Eubacterium]_brachy","","+"
"Porphyromonas catoniae","","+"
"Porphyromonas endodontalis","*",""
"Porphyromonas sp._HMT_285","*","*"
"Prevotella denticola","$*","$"
"Prevotella histicola","*",""
"Prevotella intermedia","","+"
"Prevotella jejuni","*",""
"Prevotella maculosa","","$"
"Prevotella melaninogenica","*","$+*"
"Prevotella micans","*","+*"
"Prevotella multisaccharivorax","","+"
"Prevotella nanceiensis","*","$"
"Prevotella nigrescens","","$"
"Prevotella oralis","","+*"
"Prevotella oris","*","+"
"Prevotella oulorum","*",""
"Prevotella pallens","*","+*"
"Prevotella salivae","*",""
"Pseudoleptotrichia goodfellowii","+*^","+*^"
"Pseudoleptotrichia sp._HMT_219","+*",""
"Rothia dentocariosa","*",""
"Rothia mucilaginosa","*","*"
"Saccharibacteria_(TM7)_[G-1] bacterium_HMT_352","*","+*"
"Saccharibacteria_(TM7)_[G-3] bacterium_HMT_351","*",""
"Scardovia wiggsiae","*",""
"Schaalia odontolytica","*","$"
"Selenomonas sp._HMT_501","*",""
"Selenomonas sputigena","+*","$"
"Shuttleworthia satelles","","+"
"Slackia exigua","*",""
"Solobacterium moorei","+*","$+*"
"Stomatobaculum longum","*",""
"Streptococcus anginosus","*","*"
"Streptococcus parasanguinis_clade_721","*","$+*"
"Streptococcus sanguinis","*","*"
"Streptococcus sobrinus","","+"
"Treponema lecithinolyticum","*","+*"
"Treponema socranskii","","$"
"Treponema vincentii","","+"
"Veillonella atypica","*",""
"Veillonella parvula","*",""
"Veillonella rogosae","*","+"
"Veillonella sp._HMT_780","+*^","+^"
