"Taxa","Unadjusted","Adjusted"
"Abiotrophia","*",""
"Actinomyces","*","$+*"
"Aggregatibacter","*",""
"Alloprevotella","*","$"
"Alloscardovia","","$"
"Anaeroglobus","*","$"
"Bacteroidales_[G-2]","*",""
"Bifidobacterium","*","$"
"Bulleidia","*",""
"Campylobacter","*","$"
"Capnocytophaga","*","$*"
"Catonella","*",""
"Corynebacterium","*",""
"Desulfovibrio","*",""
"Dialister","*","$"
"Eggerthia","*","$"
"Eikenella","","$"
"Enterobacter","","$"
"Escherichia","*","$*"
"Eubacterium","*","$"
"Fannyhessea","+*^","+^"
"Fusobacterium","*",""
"Gemella","*","$"
"Granulicatella","*","$*"
"Haemophilus","*","$"
"Kingella","*","$"
"Klebsiella","","$"
"Lachnoanaerobaculum","*","$"
"Lancefieldella","*","$+*"
"Lautropia","*","$"
"Leptotrichia","*","$"
"Ligilactobacillus","","$"
"Megasphaera","*","$"
"Mogibacterium","*","$"
"Mycobacterium","*","$"
"Mycoplasma","","$"
"Neisseria","*","$"
"Olsenella","","$"
"Oribacterium","*","$+*"
"Ottowia","*",""
"Parvimonas","*",""
"Peptostreptococcaceae_[G-1]","*","$+*"
"Peptostreptococcaceae_[G-5]","*",""
"Peptostreptococcaceae_[G-9]","*",""
"Peptostreptococcus","","$"
"Porphyromonas","*","$"
"Prevotella","*","$*"
"Pseudoleptotrichia","","$"
"Rothia","*","$+*"
"Saccharibacteria_(TM7)_[G-1]","*","$"
"Saccharibacteria_(TM7)_[G-3]","*","$+*"
"Scardovia","*","$"
"Schaalia","*","$"
"Selenomonas","*","$"
"Shuttleworthia","*",""
"Solobacterium","*","$"
"Staphylococcus","*",""
"Stomatobaculum","*","$+"
"Streptococcus","*","$*"
"Tannerella","*",""
"Treponema","","$"
"Veillonella","*","$*"
