"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"aerobactin biosynthesis",0.106234603195575,0.12226137522939,0.115412129112261,0.236110309939587,0.588848445410875,0.00112509829505436,0.00358959932231629,0.967329350650285
"homolactic fermentation",1.89709232742462e-33,5.06523651422373e-31,0.00097029176904354,0.00861497079805812,2.11430656016989,0.00808673620784095,0.0183664856245879,3.29490747330716
"glycolysis III (from glucose)",8.22626948372512e-07,1.7857024001257e-06,0.699642430883894,0.832390046932348,0.098298385649921,2.25547967018791e-05,0.000167907931002878,0.172217265876737
"superpathway of arginine and polyamine biosynthesis",0.0550369578276268,0.0656020881248944,0.00917912360952222,0.0346822659703342,1.07475814892276,0.0886098318142288,0.114170360222179,1.7869976040979
"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",7.09888402156788e-06,1.18462627109914e-05,0.00388776846651923,0.021706707271399,1.24845481836107,0.0214769639424992,0.0414088225653942,2.09183936222322
"arginine, ornithine and proline interconversion",0.000295527866019494,0.000419712448017047,0.162379325017086,0.304319294437616,-0.419100178520216,1.14137574613871e-07,3.97620261062394e-06,-0.669869342665469
"L-arginine biosynthesis I (via L-ornithine)",4.11217955679197e-07,1.00464426955778e-06,0.000459808779007015,0.00607910973926719,1.27967760697911,0.00916458488929428,0.0204162191876649,1.881127920145
"L-arginine biosynthesis II (acetyl cycle)",1.10655897255011e-05,1.80153198579804e-05,0.000499031396507008,0.00607910973926719,1.55382661192711,0.0143986179494657,0.0295547229807586,2.33188468427984
"chorismate biosynthesis I",3.76936482234461e-06,6.94083039700696e-06,0.895200600732203,0.937163128891525,-0.0340430027622459,3.47806871334733e-05,0.000221933908375496,-0.0187097197349285
"superpathway of L-aspartate and L-asparagine biosynthesis",6.71576079264245e-05,9.96171184241963e-05,0.0241907903141192,0.0675690281245984,0.966438953770598,0.0827704245880485,0.111484835031636,1.42978941642478
