"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"aerobactin biosynthesis",0.0302614893052372,0.144606380962451,0.140017445494381,0.307579306495853,0.760090706295172,0,0,1.15221937568858
"homolactic fermentation",1.08174791158746e-05,0.00289908440305439,0.00528896955111008,0.0436447526142821,1.9740561151223,0,0,2.98015371337056
"glycolysis III (from glucose)",0.0961800986099576,0.244745547154895,0.516492494927494,0.770444778433009,0.191422428202453,1.9317750757919e-06,2.37484275372582e-06,0.217214829462011
"superpathway of arginine and polyamine biosynthesis",0.00226618589680977,0.0449138897722613,0.0111542678360072,0.0679396313647713,1.41018833671803,0,0,2.24942992325158
"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",0.302140179503821,0.515232358696161,0.0181000355703598,0.0921267319063617,1.27499117667414,0,0,2.06838816264138
"arginine, ornithine and proline interconversion",0.614016947198144,0.751399734470788,0.430270228080053,0.690493539673379,-0.345806826737422,0,0,-0.67838682895116
"L-arginine biosynthesis I (via L-ornithine)",0.0966391372715504,0.244745547154895,0.00494286980246103,0.0436447526142821,1.09552281119661,4.9737991503207e-14,8.59985917603837e-14,1.52562260451882
"L-arginine biosynthesis II (acetyl cycle)",0.0378434237815113,0.144606380962451,0.00379808925445825,0.0423154377936768,1.40269638875136,7.99360577730113e-15,1.46731941665528e-14,2.01877796984091
"chorismate biosynthesis I",0.428601775887741,0.601388879256097,0.96318655920989,0.977614016869008,0.0139489608961198,4.83542227147638e-07,6.08400548711581e-07,-0.0388244102072867
"superpathway of L-aspartate and L-asparagine biosynthesis",0.185664270935982,0.420596372581066,0.0590814810666263,0.18199812558455,0.821860243734784,5.22296655058874e-06,6.33373319256915e-06,1.13113238379224
"L-arginine degradation II (AST pathway)",0.0948624361503197,0.244745547154895,0.0098106146529745,0.0638009031629618,1.60231506598221,0,0,2.50911989106981
