"Taxa","Unadjusted","Adjusted"
"(5Z)-dodec-5-enoate biosynthesis","*","$"
"1,4-dihydroxy-2-naphthoate biosynthesis I","*","$"
"1,4-dihydroxy-6-naphthoate biosynthesis I","*","$"
"1,4-dihydroxy-6-naphthoate biosynthesis II","*","$"
"2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","*","*"
"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","*",""
"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate","*","$+"
"3-phenylpropanoate degradation","*","*"
"4-aminobutanoate degradation V","*","*"
"4-deoxy-L-threo-hex-4-enopyranuronate degradation","*","$"
"4-methylcatechol degradation (ortho cleavage)","*","+"
"5-aminoimidazole ribonucleotide biosynthesis I","*","*"
"5-aminoimidazole ribonucleotide biosynthesis II","*","$*"
"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","*","$+*"
"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","*","$+"
"8-amino-7-oxononanoate biosynthesis I","*","$"
"acetylene degradation","*","$+"
"adenine and adenosine salvage III","*","$*"
"adenosine deoxyribonucleotides de novo biosynthesis II","","$*"
"adenosine nucleotides degradation II","*","$"
"adenosine ribonucleotides de novo biosynthesis","*","*"
"adenosylcobalamin salvage from cobinamide I","*","$"
"ADP-L-glycero-&beta;-D-manno-heptose biosynthesis","*","$"
"aerobactin biosynthesis","*","*"
"allantoin degradation IV (anaerobic)","*",""
"allantoin degradation to glyoxylate III","*",""
"anhydromuropeptides recycling","*","$+"
"arginine, ornithine and proline interconversion","*","$*"
"aromatic compounds degradation via &beta;-ketoadipate","*","+*"
"Bifidobacterium shunt","*","$"
"biotin biosynthesis I","*","$"
"biotin biosynthesis II","*","$"
"caffeine degradation III (bacteria, via demethylation)","*","*"
"Calvin-Benson-Bassham cycle","*","$*"
"catechol degradation III (ortho-cleavage pathway)","*","+*"
"catechol degradation to &beta;-ketoadipate","*","+*"
"CDP-diacylglycerol biosynthesis I","*","$+"
"CDP-diacylglycerol biosynthesis II","*","$+"
"chorismate biosynthesis from 3-dehydroquinate","*","$*"
"chorismate biosynthesis I","*","$*"
"cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate","*","$+"
"cis-vaccenate biosynthesis","*","$"
"CMP-3-deoxy-D-manno-octulosonate biosynthesis I","*","$"
"CMP-legionaminate biosynthesis I","*","$"
"CMP-pseudaminate biosynthesis","*","$"
"coenzyme A biosynthesis I","*","$"
"colanic acid building blocks biosynthesis","*","$"
"D-fructuronate degradation","*","*"
"D-galactarate degradation I","*","$"
"D-galacturonate degradation I","*","$"
"D-galacturonate degradation II","*","*"
"D-glucarate degradation I","*","$+"
"dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis","*","$"
"dTDP-6-deoxy-&alpha;-D-allose biosynthesis","*","$*"
"dTDP-D-&beta;-fucofuranose biosynthesis","*","*"
"dTDP-L-rhamnose biosynthesis I","*","$*"
"dTDP-N-acetylthomosamine biosynthesis","*","$"
"dTDP-N-acetylviosamine biosynthesis","*","$"
"ectoine biosynthesis","*","$"
"enterobacterial common antigen biosynthesis","*","$"
"ergothioneine biosynthesis I (bacteria)","*","$"
"fatty acid &beta;-oxidation I","*",""
"fatty acid elongation -- saturated","*","$"
"fatty acid salvage","*","*"
"formaldehyde assimilation II (RuMP Cycle)","*","$*"
"formaldehyde oxidation I","*","$*"
"fucose degradation","*","$"
"galactose degradation I (Leloir pathway)","*","$*"
"gallate degradation I","*","*"
"gallate degradation II","*","*"
"GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis","*","*"
"GDP-mannose biosynthesis","*","$"
"gluconeogenesis I","*","$"
"glucose and glucose-1-phosphate degradation","*","$"
"glutaryl-CoA degradation","","$"
"glycogen biosynthesis I (from ADP-D-Glucose)","","$*"
"glycogen degradation I (bacterial)","*","$"
"glycolysis I (from glucose 6-phosphate)","*","$"
"glycolysis II (from fructose 6-phosphate)","*","$"
"glycolysis III (from glucose)","*","$*"
"glyoxylate cycle","*","$"
"gondoate biosynthesis (anaerobic)","*","$+*"
"guanosine deoxyribonucleotides de novo biosynthesis II","","$*"
"guanosine nucleotides degradation III","*","$"
"guanosine ribonucleotides de novo biosynthesis","*","*"
"heme biosynthesis I (aerobic)","*","$"
"heme biosynthesis II (anaerobic)","*","$"
"hexitol fermentation to lactate, formate, ethanol and acetate","*","$"
"homolactic fermentation","$*","$+"
"incomplete reductive TCA cycle","*","$"
"inosine-5-phosphate biosynthesis I","*","*"
"inosine-5-phosphate biosynthesis III","*","*"
"isopropanol biosynthesis","*","*"
"ketogluconate metabolism","*","$"
"L-1,2-propanediol degradation","*","$"
"L-arginine biosynthesis I (via L-ornithine)","*","$+"
"L-arginine biosynthesis II (acetyl cycle)","*","$+"
"L-arginine biosynthesis III (via N-acetyl-L-citrulline)","*","$+"
"L-arginine biosynthesis IV (archaebacteria)","*","$+"
"L-arginine degradation II (AST pathway)","*","$+"
"L-ascorbate biosynthesis VI (engineered pathway)","*","*"
"L-histidine biosynthesis","*","$"
"L-histidine degradation I","","$*"
"L-isoleucine biosynthesis I (from threonine)","*","$*"
"L-isoleucine biosynthesis II","*","$*"
"L-isoleucine biosynthesis III","*","$*"
"L-isoleucine biosynthesis IV","*","$"
"L-lysine biosynthesis I","*","$"
"L-lysine biosynthesis II","*","$*"
"L-lysine biosynthesis III","*","$*"
"L-lysine biosynthesis VI","","$"
"L-lysine fermentation to acetate and butanoate","*","$*"
"L-methionine biosynthesis I","*","$"
"L-methionine biosynthesis III","*","$"
"L-ornithine biosynthesis","*","$+"
"L-rhamnose degradation I","*","$"
