# Constructed from biom file
#OTU ID	SM001	SM002	SM003	SM004	SM005	SM006	SM007	SM008	SM009	SM010	SM011	SM012	SM013	SM014	SM015	SM016	SM017	SM018	SM019	SM020	SM021	SM022	SM023	SM024	SM025	SM026	SM027	SM028	SM029	SM030	SM031	SM032	SM033	SM034	SM035	SM036	SM037	SM038	SM039	SM040	SM041	SM042	SM043	SM044	SM045	SM046	SM047	SM048	SM049	SM050	SM051	SM052	SM053	SM054	SM055	SM056	SM057	SM059	SM060	SM061	SM062	SM063	SM064	SM065	SM066	SM067	SM068	SM069	SM070	SM071	SM072	SM073	SM074	SM075	SM076	SM077	SM078	SM079	SM080	SM081	SM082	SM083	SM084	SM085	SM086	SM087	SM088	SM089	SM090	SM091	SM092	SM093
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__oralis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
k__Bacteria;__;__;__;__;__;__	56987.0	59821.0	54311.0	59921.0	51211.0	53553.0	33712.0	10600.0	95194.0	72795.0	26066.0	12403.0	50601.0	52831.0	73914.0	53729.0	65487.0	62690.0	69642.0	39391.0	71612.0	89642.0	57742.0	80981.0	128184.0	140271.0	125302.0	100212.0	78925.0	134172.0	66851.0	128620.0	104727.0	100242.0	113635.0	117395.0	91498.0	115386.0	60249.0	96461.0	108095.0	135329.0	111207.0	183332.0	122536.0	163449.0	161380.0	103605.0	113759.0	135014.0	123819.0	85789.0	51229.0	97589.0	108312.0	97293.0	149059.0	210445.0	109628.0	100718.0	140747.0	141921.0	152895.0	130409.0	120882.0	158480.0	120018.0	148042.0	117789.0	118573.0	58802.0	122815.0	159912.0	154850.0	116623.0	97821.0	85860.0	97743.0	95933.0	72804.0	137580.0	153112.0	145431.0	81718.0	90549.0	118046.0	87118.0	152042.0	123977.0	92100.0	111562.0	95145.0
k__Bacteria;p__Absconditabacteria_(SR1);c__Absconditabacteria_(SR1)_[C-1];o__Absconditabacteria_(SR1)_[O-1];f__Absconditabacteria_(SR1)_[F-1];g__Absconditabacteria_(SR1)_[G-1];s__bacterium_HMT_874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	606.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	446.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0
k__Bacteria;p__Actinobacteria;__;__;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	16.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;__;__;__;__	13.0	0.0	282.0	2.0	0.0	29.0	0.0	10.0	1259.0	12.0	33.0	18.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	30.0	43.0	0.0	2.0	0.0	4.0	1.0	10.0	10.0	2.0	0.0	4.0	73.0	0.0	0.0	4.0	0.0	0.0	4.0	9.0	0.0	66.0	54.0	8.0	0.0	21.0	45.0	0.0	24.0	0.0	0.0	4.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	0.0	2.0	0.0	0.0	5.0	123.0	16.0	15.0	50.0	14.0	0.0	3.0	54.0	9.0	39.0	0.0	0.0	5.0	0.0	17.0	66.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;__;__	2.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	221.0	0.0	15.0	0.0	154.0	15.0	0.0	0.0	3.0	17.0	7.0	0.0	0.0	0.0	27.0	79.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	19.0	1193.0	21.0	12.0	0.0	138.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0	2.0	174.0	4.0	0.0	0.0	0.0	63.0	2.0	4.0	0.0	7.0	35.0	10.0	29.0	0.0	153.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;__	0.0	0.0	22.0	0.0	3.0	0.0	70.0	0.0	0.0	136.0	29.0	683.0	0.0	236.0	0.0	0.0	241.0	126.0	0.0	0.0	193.0	93.0	8.0	140.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	87.0	0.0	5.0	958.0	258.0	0.0	22.0	84.0	3880.0	0.0	0.0	0.0	18.0	0.0	865.0	35.0	712.0	0.0	198.0	18.0	0.0	0.0	42.0	110.0	39.0	0.0	92.0	0.0	0.0	7.0	17.0	44.0	77.0	15.0	0.0	0.0	144.0	183.0	0.0	57.0	0.0	143.0	0.0	1506.0	470.0	11.0	1008.0	71.0	92.0	0.0	0.0	55.0	0.0	0.0	70.0	14.0	94.0	9.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__gerencseriae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__graevenitzii	0.0	0.0	0.0	11.0	19.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	395.0	0.0	0.0	36.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	26.0	15.0	301.0	15.0	0.0	0.0	0.0	163.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	20.0	0.0	30.0	212.0	11.0	28.0	81.0	0.0	0.0	1093.0	0.0	0.0	23.0	0.0	0.0	266.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	8.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	20.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__massiliensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__oricola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__oris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__sp._HMT_448	0.0	0.0	44.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	19.0	0.0	64.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	9.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	156.0	0.0	0.0	976.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	86.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	24.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__haemolyticum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__mulieris	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Peptidiphaga;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Peptidiphaga;s__gingivicola	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	49.0	0.0	5.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Peptidiphaga;s__sp._HMT_183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia;__	786.0	0.0	3.0	345.0	2786.0	324.0	0.0	4.0	52.0	0.0	64.0	0.0	0.0	0.0	0.0	86.0	174.0	170.0	0.0	0.0	628.0	0.0	0.0	249.0	1724.0	9.0	537.0	2226.0	0.0	0.0	758.0	25.0	122.0	1775.0	3261.0	2992.0	159.0	0.0	0.0	5066.0	162.0	0.0	0.0	0.0	137.0	2068.0	0.0	53.0	0.0	2650.0	1319.0	0.0	20.0	332.0	14795.0	2778.0	118.0	0.0	4334.0	31.0	24.0	479.0	0.0	789.0	876.0	3105.0	0.0	0.0	0.0	0.0	480.0	0.0	0.0	0.0	0.0	1130.0	10372.0	2857.0	2584.0	907.0	0.0	0.0	3386.0	994.0	7174.0	0.0	0.0	2991.0	963.0	0.0	0.0	3475.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia;s__cardiffensis	0.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	253.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	73.0	0.0	9.0	0.0	0.0
