Readcount,Genus/Species
39,Lautropia mirabilis
34,Escherichia coli
27,Pseudomonas
23,Klebsiella pneumoniae
15,Enterobacter
11,Ottowia sp._HMT_894
6,Haemophilus
5,Achromobacter xylosoxidans
4,Treponema socranskii
4,Cronobacter sakazakii
3,Burkholderia cepacia
3,Acidovorax
3,Neisseria
3,Kluyvera ascorbata
2,Cutibacterium acnes
2,Neisseria macacae
2,Streptococcus
1,Prevotella
1,Serratia marcescens
1,Aggregatibacter sp._HMT_949
1,Acidovorax temperans
1,Moraxella osloensis
1,Pseudomonas fluorescens
1,Pseudomonas otitidis
1,Pseudomonas stutzeri
1,Enterobacter cancerogenus
