Readcount,Genus/Species
253,Neisseria
132,Haemophilus
116,Haemophilus parainfluenzae
58,Alloprevotella rava
57,Stenotrophomonas maltophilia
54,Prevotella nanceiensis
41,Prevotella
40,Actinomyces
39,Lautropia mirabilis
34,Escherichia coli
28,Aggregatibacter segnis
28,Aggregatibacter
27,Pseudomonas
26,Schaalia
24,Corynebacterium
23,Neisseria bacilliformis
20,Kingella oralis
19,Porphyromonas endodontalis
17,Fusobacterium periodonticum
17,Eikenella corrodens
15,Enterobacter
14,Haemophilus parahaemolyticus
14,Neisseria macacae
14,Kingella denitrificans
14,Alloprevotella tannerae
13,Prevotella sp._HMT_304
12,Acinetobacter
11,Haemophilus influenzae
11,Haemophilus haemolyticus
11,Prevotella pleuritidis
11,Sphingomonas glacialis
11,Ottowia sp._HMT_894
10,Prevotella oulorum
9,Fusobacterium
9,Prevotella baroniae
9,Klebsiella pneumoniae
8,Prevotella oralis
7,Corynebacterium matruchotii
7,Acinetobacter baumannii
7,Neisseria oralis
6,Prevotella shahii
5,Prevotella buccae
5,Achromobacter xylosoxidans
5,Prevotella veroralis
5,Haemophilus aegyptius
5,Fusobacterium necrophorum
5,Cardiobacterium valvarum
4,Prevotella marshii
4,Aggregatibacter sp._HMT_949
4,Bosea vestrisii
4,Cronobacter sakazakii
3,Acidovorax
3,Stenotrophomonas
3,Streptococcus
3,Prevotella saccharolytica
3,Haemophilus pittmaniae
3,Prevotella koreensis
3,Moraxella
3,Burkholderia cepacia
2,Prevotella enoeca
2,Cardiobacterium hominis
2,Kluyvera ascorbata
2,Brevundimonas diminuta
2,Aggregatibacter aphrophilus
2,Paracoccus yeei
2,Dermabacter hominis
2,Acinetobacter junii
1,Haemophilus sp._HMT_259
1,Pseudomonas fluorescens
1,Pseudomonas stutzeri
1,Pseudomonas otitidis
1,Moraxella osloensis
1,Cutibacterium
1,Corynebacterium jeikeium
1,Serratia marcescens
1,Enterobacter cancerogenus
1,Porphyromonas
1,Kingella
1,Roseomonas
1,Brucella anthropi
1,Veillonella
1,Micrococcus luteus
1,Arachnia propionica
1,Acidovorax temperans
