pathway	SM001	SM002	SM003	SM004	SM005	SM006	SM007	SM008	SM009	SM010	SM011	SM012	SM013	SM014	SM015	SM016	SM017	SM018	SM019	SM020	SM021	SM022	SM023	SM024	SM025	SM026	SM027	SM028	SM029	SM030	SM031	SM032	SM033	SM034	SM035	SM036	SM037	SM038	SM039	SM040	SM041	SM042	SM043	SM044	SM045	SM046	SM047	SM048	SM049	SM050	SM051	SM052	SM053	SM054	SM055	SM056	SM057	SM059	SM060	SM061	SM062	SM063	SM064	SM065	SM066	SM067	SM068	SM069	SM070	SM071	SM072	SM073	SM074	SM075	SM076	SM077	SM078	SM079	SM080	SM081	SM082	SM083	SM084	SM085	SM086	SM087	SM088	SM089	SM090	SM091	SM092	SM093
1CMET2-PWY	11564.17284314783	20081.248955387957	16120.166043046827	14829.507307621421	20477.05300251306	9111.744142859792	19393.43775841767	13230.36497020799	15095.281188384855	9053.43066202312	7911.619960660055	4756.9828089059265	114.60846457364534	23615.37928405255	27855.97665615531	27861.739114871496	27811.342931318177	13311.078079890713	342.5973711564971	2433.909069491493	38015.799614569245	60780.498671978785	27191.509516862603	34556.82283187446	14901.073845631356	42415.36216136793	18708.591143926315	20513.79607161996	16250.753587179386	1252.7045514282568	6618.001541247368	24803.95630461314	19085.60352436717	24268.831341519286	20132.952474795384	26921.779664789196	22057.02931604779	22135.532715741214	15550.085232413396	39146.68021421827	30300.14772441179	5277.742338973826	978.6197295021472	237.16800972557706	15011.305089632348	43251.139753719086	33106.105599310846	40421.86700563965	3041.3607770674785	50322.0139261496	16399.234582785557	32798.35310890113	15657.90151493729	9321.386782941505	13989.22401563149	9949.673088519014	2107.5887015913604	13.99332065936345	31909.146662188366	11969.61321279876	36107.44547287112	16794.65822309324	32599.250737785376	31044.014902696796	14846.050481946293	10659.540202198034	53891.65174487189	34152.839537840315	34995.97617950712	18457.843252225673	4040.44385264132	31908.315940022312	89385.26937959497	13029.874807006756	55244.52642988144	32850.86859737985	38376.64205651178	20394.422184624324	37749.04107489453	25228.617604908697	30802.82448431357	82740.27070655515	30019.81075835617	30657.324848767355	15610.32847012699	2789.3635509536607	32292.580860876376	50889.0642632293	35130.888812329795	14772.214669980642	34733.88562665348	45016.96854881057
AEROBACTINSYN-PWY	3937.2125744236237	0.0	0.0	0.0	0.0	0.0	0.0	6353.495754383205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.525224691109255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	367.2090941084806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.962566844919785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	10444.167416309974	2.8218523264453466	0.0	40.13	0.0	0.0	0.0	0.0	1460.7665140107952	12.746607134631457	0.0	0.0	0.0	0.0	0.0	37.78843561433473	0.0	0.0	0.0	0.0	0.43	2.57	0.0	0.0	0.0	0.0	18.260088901843623	0.0	0.0	0.8599814150868484	0.18642084469946385	6.0	0.0
ANAEROFRUCAT-PWY	18929.052907370427	38363.23925239033	29120.877437443007	32063.63617183764	32855.41650754056	28850.009738353358	46504.50199262404	21004.89197872882	28172.92243742891	49541.40831671574	6129.112870079713	9091.716116221898	4270.625609602535	44683.45994451705	45161.959762228544	34690.70507574751	40387.26368479827	16561.01790959909	17470.369278834794	4477.192678433065	37498.82630762319	97519.57038225117	44034.96707639526	47755.115469829056	61875.76792498844	36205.25534419046	21071.994614612257	51619.11418998212	38894.46530840298	7198.428408316458	27739.58205729375	102629.60645726504	27739.698852945963	35176.96158327112	65150.52789259885	63204.793527540416	36377.28946661045	29280.483527128665	41905.48907252767	65775.56754559629	62163.323583567675	61920.25916258156	10834.407433643717	13550.230265757033	13038.45743906399	42622.571819591794	67651.38283959383	65392.894334198165	21124.678000218395	74012.56019588052	42589.60366299524	38022.80912511753	35369.29410807741	16260.291674665381	72119.88152954087	30162.83764034018	16298.16528073772	31628.082421757896	71164.27630313256	24386.63487568995	111999.38027496458	32842.96946515713	50764.226308427176	43140.081777373896	50770.828371152726	34766.18518407734	32791.98142126817	58297.09207863058	55213.59457207975	86235.64888660939	35861.58117602013	37496.55870393381	95461.8177334164	8793.96713712655	71591.47552852581	58170.09032037285	67658.00683416586	59883.43490204576	75825.88623125714	39157.140449125916	33593.33866920512	106631.30253254558	45849.16652963527	52941.9329081909	75097.29542927805	30322.98141291173	77443.55136692838	52339.20465753722	51637.63941804626	53065.63760244651	29769.785242012662	60049.422113591136
ANAGLYCOLYSIS-PWY	30210.510332396436	56705.580788208106	30715.62463135016	61289.10525880851	48187.81121518428	57740.97708234166	65068.35440865147	24648.373352751398	124538.24708340774	93618.4316604007	33932.981930442154	16691.46829659162	10074.173061419466	59708.437990203885	64841.84813206316	49685.4248296661	58647.56968250867	35975.36801846401	17884.131775203765	28233.31291718731	74805.50034796042	111105.92771988013	62462.79240061726	90192.00812994537	97004.53921050101	110965.71756978777	42851.72366154762	74515.19900969687	38536.860117553384	139814.77534297996	31383.91093881832	107771.70170439464	90235.7629906464	74295.84073200921	86451.6929750667	74700.92021174001	56661.80202458905	36671.88788155422	57355.94706124897	85789.37142965112	103008.83914074393	123747.18752828748	81243.40788723617	184298.58535981397	101810.84157542436	137762.30689803563	123743.3365026507	87013.2053120224	60170.899266429966	114948.58193847847	113851.99054761886	71024.91239152741	47993.36046636593	61786.33794794299	115531.5650183779	98009.71240868847	34459.232535596435	32325.137135104836	84851.4008532868	28048.64506986049	141320.22717127184	91457.1909355202	145722.71579318694	111431.48454602186	113084.46979091642	73291.97071349731	117614.5320134828	73819.34879459292	60202.7467670236	114105.89001046674	54821.14539332809	51247.85405802383	148647.29195254148	116148.78230580119	119280.23538985201	104502.0715028464	85046.96007289323	88286.12652850637	94431.85405193937	55746.789085309356	90882.15587248729	132287.06682251501	64466.659214599335	80696.8289948413	98785.47587656781	56408.01124053269	109041.0201042412	88882.16568222811	58996.670884190695	91608.23563238617	74177.25067330852	81893.79788256927
ARG+POLYAMINE-SYN	6607.296152974734	1244.0525707249196	2383.4792251239546	211.60183552762862	101.0790532230677	2896.957368894216	716.4279117757578	10269.673330770373	826.1439452837313	1796.8955930147777	18.419217400061918	1974.047446660823	75.95305950645921	5895.463508962746	9053.527691444699	893.4279768288686	440.05912461610376	992.0106321874972	15821.560877922422	128.1033596114758	930.9531741686851	7459.187335754041	0.0	3686.4180569002847	158.10123349578194	1311.7154091973223	7557.044565305303	12532.953227812639	3978.3595821338513	57.88285150597332	0.0	857.0734674876815	997.8270912522024	1008.7169855850785	41.481542145837665	80.93744280711138	1718.9068550188194	8906.166837714554	329.97848176149375	7465.061719922056	1020.6039702257359	35.01146829811799	0.0	5.369731271555161	0.0	247.8533842786484	129.62966933486632	5532.239482067869	0.0	5.996532724831109	332.74559000915866	1910.7329712239368	1536.7696781511102	122.81592236626732	690.0050053158335	5.986521451561339	408.6689411976237	28727.131422916573	1730.7866636785793	15420.313218804893	693.1140618091287	60.39588617867825	7696.0526657672135	220.38750292344088	1510.761798138985	8.985753514034274	107.42335321058063	96.99858612680774	4493.805591810093	4152.8050658327165	3289.364219659753	23912.24346094753	565.5943883778924	995.9261044608729	111.09011178068043	2040.770477262276	1247.8713271692093	5739.427856184548	1370.3411890744994	2641.3469701527156	10797.833815831922	3093.6580331460436	12826.035357753906	815.4626932327304	0.0	20333.869708290644	1080.1856534246604	0.0	1211.8991361042547	3819.977861598994	8031.93707708686	1435.3642235898287
ARGDEG-PWY	4068.2150660501497	143.4893121473892	201.57275426506024	30.888123684471378	5.407842105279447	667.2952074978266	29.777249082384923	5474.365060738435	165.9737453860133	330.404952066819	3.2624555688076167	450.551234009323	24.39429665387545	952.7375804495613	2069.214904498898	139.14616415578502	173.47988462114589	314.3794326527581	16140.797228703383	31.529867815170842	17.47530869694668	398.33334662594575	0.0	3.0001300148695464	0.0	0.0	1469.4807375307846	0.0	128.33242147671442	0.0	0.0	0.0	3.4672542235098374	0.0	3.687622731649	46.858921307039026	6.517519704290782	0.0	8.712488742580174	0.0	2.6385678468080545	13.999947516063314	0.0	1.0804053711582364	6.953255669958212	62.35117653105816	43.242932862371696	15.275387089655105	0.0	0.0	169.95116473174858	13.655372600392312	0.0	4.9633798908209155	303.8143994229113	0.0	0.0	29326.03074639014	0.0	9849.709413668266	77.26825782792463	33.28981394007443	786.9398291385808	46.28122007134723	340.6930384684598	0.0	0.0	1718.244333328942	358.9189429004244	1105.7284174328327	1228.145165606564	16540.223238232455	115.63984606076004	223.94393956026914	34.571631468020335	132.29850053666132	192.3577261544452	1179.6457652448441	194.61763133535285	556.0334177663251	5738.636290193648	479.61369667642356	7587.370233525078	146.88978859952644	0.0	10422.932367598609	30.894285811833715	0.0	434.3955312312813	410.3537871895955	1861.3656067624186	101.39578184024609
ARGORNPROST-PWY	13956.452748792186	25009.05310050688	7428.835638723808	24787.428581219257	2283.538641090743	8868.972356830585	11431.040102249104	149.4670985909402	15615.142660619947	1061.9781256002507	16550.958596641212	70.36283062665889	0.0	6255.4212713698535	708.5153166651074	11800.259624231861	12221.981851023473	3545.853153511587	16.652811391863178	11347.178829867387	29548.74559759759	11846.971627026971	16704.472573640545	32449.82173052546	26997.267724197507	7740.102416995526	3179.300375523856	15860.804527590302	7279.925058754052	117.13942483340814	0.0	614.7583089713488	28287.086907076115	395.28447680574817	25540.08974392259	5907.138690351402	5272.44779310844	394.47067008689646	8123.421910755423	25772.214023316148	32533.76488834171	325.58622727548794	10123.384292565683	3304.1618758326676	34273.837058262696	8977.023119038613	49313.46040838391	1755.4861200971122	21420.382055136637	43472.65194148708	3991.258799585798	16134.339830033518	10714.591060162098	17063.493889630936	45052.81255062669	18965.772324698602	4720.50490306633	0.0	10771.860598411104	145.04665298213504	153.38231740089947	9415.012935305145	39166.801031902716	17932.44921663415	7574.637366950868	21573.489369506096	59.969935968844126	691.8802022142011	14677.91067980637	27123.078874304723	10515.549295794473	21677.119716170615	3125.515545819395	488.40892763730443	77.51023088888869	37781.58743183365	13880.535270566392	25490.461391082496	23782.17326016765	7157.020442316134	43654.532880198174	232.89938900151245	2234.493056190865	15715.951747388615	1164.4847376641965	8250.41406217131	15671.450864468676	2898.111424638496	20699.89293762559	4658.184679029312	6328.48177092327	6401.508694815722
ARGSYN-PWY	8643.601902738797	21888.303495863427	26433.58409450734	14902.836098373136	12608.080580990229	6140.546749537252	15170.36287864238	13067.110378522651	13260.813655903847	20361.01285906534	3077.9930963184693	4307.169803777476	137.3367011045763	24429.65884929197	23825.518345302233	7104.551864162127	20805.155583388838	1514.4237009025867	14467.150898685497	1829.07791597205	14755.334163381418	79021.09537411718	3943.612110374664	33694.360515954344	27086.270355838264	17415.748619638118	11729.30401301807	16831.72339382365	37911.14661589936	5528.978830704109	3477.635146801221	99226.38656666607	24269.106211251084	15667.50319474511	16377.438938731999	31629.718420145837	14350.593271315052	18973.11956568665	13498.114054210095	27118.900527916856	27996.53678721383	36734.12548565639	1051.904465623454	271.9931506353012	45456.58390501897	15318.810856246146	35298.73836726694	45998.99757648286	10660.746533752475	9591.712328824164	13904.20017456146	16333.422457263496	16698.45213208277	3375.2581509562965	57901.755247911606	5524.173643590693	6288.236716040121	26231.774723672926	16509.753253297582	17357.84678814616	103310.51606073529	18834.282782834947	29930.99630903691	36351.61015662704	8493.173609386975	6446.76323173503	4287.155472303968	29392.763460349543	50498.1259208252	21990.692889295053	8733.47599156453	27638.976686465914	85889.09121770911	28540.66437964004	50168.6705808969	16211.287569468444	29366.448285142033	13430.70922181184	34923.88285394627	17538.404246380807	12952.129301305507	107724.35081971376	17982.917969940754	15013.89440497669	31091.494313133924	52454.74777551171	25155.35051571493	21924.61558367464	44722.27979285912	30431.1847821449	12984.958178387646	28119.883390170406
ARGSYNBSUB-PWY	7431.676571846305	11161.923769109339	10760.99361668882	13881.535119995528	10028.408652386575	2641.504674713546	1213.7270086200213	11961.319631377084	7644.175473837988	19793.322277761068	636.606420115986	2688.4085127988155	60.70126758864757	23450.678142362096	13162.329830280478	485.91844855890366	17972.055586762108	872.2826417835588	14590.710730831646	638.5891989225697	4432.285125086465	74111.38791006237	35.37283965599902	30555.40066749369	9216.492433012461	5254.9977692053035	6331.861025699408	8081.360459349154	8544.134332112699	288.35569303229266	0.0	101043.82859142123	18415.023754436355	9259.420168191271	3602.046987981575	12666.698483664048	11382.4785728977	15139.445118202091	430.4566227281068	4950.626689523082	16552.924202463746	32470.35965359697	71.09139043260562	4.938897053413981	1888.8349523469208	6160.432280435128	3322.328218323426	45324.6842414129	1699.458571832469	1780.7081001433485	3994.9376541100205	7822.739185820882	9807.566319660931	1274.967528464896	23749.42081849976	2165.0086012673783	2463.9643096260847	26462.390553881392	3645.211371908613	16891.63304856219	98951.7924946999	13146.068433294085	7247.725432759773	30016.666208864215	2977.387487676504	3836.1147470764995	382.78813278795354	9136.042659519342	20830.39588401996	3145.2226963464395	3122.3770905210367	24393.330706948498	65589.18266738203	20666.978562758068	45485.89063346372	5674.172131877272	6652.666251639815	5981.643030859505	6106.211074954656	5290.9968699042865	10408.70402748029	91308.16600950375	13794.121276495078	2170.513849368606	9715.716815682064	52183.291306147294	1575.0333723472554	10285.232029048157	37893.97771523921	28501.498409112257	9027.068150309899	14885.021659528264
ARO-PWY	32355.21390247896	57576.27405380132	37260.64956202827	64286.06192929521	47072.906659972425	58512.03537642147	61934.85515507303	23177.262032824667	125430.36653097079	88261.7229849196	44463.181661418355	11365.014215896032	1040.4911691814805	50688.800970740645	54350.66288664876	44978.98516552228	57455.891180039005	34773.357683845796	16682.08864810213	26111.719393104155	75090.07317939721	119367.71241192981	57281.56160686843	93033.65125039076	98602.88095256152	106114.13868590804	40638.10479690325	72376.25132577808	50860.92258736629	140063.10384963534	35418.17845616229	108397.1998145329	92794.51669749893	65559.95503378035	89059.35068070772	73247.18670169686	44979.289255137526	38693.754907282586	55795.31747143429	92384.300766718	96075.01582979537	120486.34613090284	80530.72077830735	182684.85913783853	102733.00762940344	134220.04722053427	133352.29148461518	80656.90760014215	76570.97855738281	130105.84382496563	114025.73250752428	65918.08844134974	45115.33449229813	74943.68485304053	109369.41117631222	97384.47571832628	10479.136538940387	30168.871423999484	89060.96234232614	27212.650626436494	135293.16141646207	91184.01188912643	147801.48582620715	106528.279971783	112611.06311094285	57138.71274585345	111987.93720677719	69938.12275573498	68054.0736886098	88545.37668957624	46423.92803055832	57751.6297241321	153496.10289941402	110396.20226122545	110917.86419327297	95313.62547738911	84357.95929136271	81154.11696216658	87845.00914311955	46836.4920399435	108436.26282477207	136600.6666348534	55186.80260492832	74371.0377116509	92914.3645291172	53517.263229185075	102238.61836434978	80623.03217266058	58630.228348264005	82139.40915256586	71792.48771606784	82751.52424495346
