pathway	SM001	SM002	SM003	SM004	SM005	SM006	SM007	SM008	SM009	SM010	SM011	SM012	SM013	SM014	SM015	SM016	SM017	SM018	SM019	SM020	SM021	SM022	SM023	SM024	SM025	SM026	SM027	SM028	SM029	SM030	SM031	SM032	SM033	SM034	SM035	SM036	SM037	SM038	SM039	SM040	SM041	SM042	SM043	SM044	SM045	SM046	SM047	SM048	SM049	SM050	SM051	SM052	SM053	SM054	SM055	SM056	SM057	SM059	SM060	SM061	SM062	SM063	SM064	SM065	SM066	SM067	SM068	SM069	SM070	SM071	SM072	SM073	SM074	SM075	SM076	SM077	SM078	SM079	SM080	SM081	SM082	SM083	SM084	SM085	SM086	SM087	SM088	SM089	SM090	SM091	SM092	SM093
1CMET2-PWY	0.0	0.0	967.6923076923076	0.0	0.0	0.0	63.53846153846153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.769230769230769	0.0	0.0	61.38461538461538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.846153846153845	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3076923076923075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5384615384615384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1538461538461537	702.0	11.846153846153845	0.0	0.0	75.38461538461539	0.0	418.6538461538461	0.0	4.0	304.7692307692307	0.0	0.0	283.46153846153845	0.0	22.615384615384613	0.0	0.0	0.0	166.6153846153846	19.23076923076923	0.0	129.8846153846154	0.0	35.53846153846154
AEROBACTINSYN-PWY	3936.45	0.0	0.0	0.0	0.0	0.0	0.0	6350.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.579999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	365.84000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	10441.17	1.88	0.0	40.13	0.0	0.0	0.0	0.0	1028.54	9.57	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.43	2.57	0.0	0.0	0.0	0.0	15.43	0.0	0.0	0.43	0.14	6.0	0.0
ANAEROFRUCAT-PWY	4711.50976789559	79.22991735537191	62.90322580645162	387.53349462365594	337.98462365591394	506.2032258064517	13.322580645161292	8797.808887492354	83.03225806451614	635.5808333333333	1.975161290322581	284.2807722385142	128.5579005817028	905.5170967741936	2017.9480645161293	132.654623655914	7.37225806451613	254.3177419354839	17406.508356374812	25.731890162623305	30.48727583755443	141.8979863147605	0.0	4.331935483870968	474.12	5316.35	1139.8313902198404	710.32	59.05202346041057	0.0	0.0	75605.205	402.5666666666667	45.60833333333333	484.35903225806453	1645.5378512396696	39.36321136254213	85.85416666666666	3.2332258064516135	0.0	1794.863575647433	92.08193548387095	345.28000000000003	159.31267217630855	1.1641791044776117	609.8205720332882	570.0066666666667	118.1304347826087	47.84	351.56333333333333	2.620967741935484	809.1703225806451	1170.2166666666667	188.65516129032258	974.9105376344086	253.76	0.0	31625.58516506762	232.42000000000002	15034.844390409531	2143.2609782476084	163.9625	460.3693128345362	33.28	185.3003225806452	0.0	518.96	1229.0523163841808	256.79698924731184	5324.397419354838	2854.1025647805395	8049.079717627213	3025.193085447745	352.34010940961883	701.0383343805848	412.7036347114948	1145.7403225806452	2171.77388324862	866.7125437717494	908.913870967742	5820.403549394376	409.3691301158829	6602.331161245891	957.4834249955933	725.9200000000001	7880.878868958663	11.511290322580647	2.08	581.245376344086	4221.7625806451615	1899.5100268817207	205.46709677419355
ANAGLYCOLYSIS-PWY	23088.3533344657	35393.98463838233	11291.42558977385	46798.65449255406	38877.27493156019	50668.88821485487	40504.46118166203	15076.948055195777	115890.76281385985	91982.67925897632	16694.57623190758	14795.101751152848	9960.803140534623	55203.24198360776	62863.45409117819	30782.53445225373	45226.53699966923	32689.026126814366	17854.39285714286	22170.54952951493	49414.32705832852	90152.92382226864	37747.02816031953	75323.3528958066	68250.25855093867	105959.90082573908	37974.16618796914	56064.55372562478	11464.053752333139	138466.53768441448	14952.930966264648	104359.52552252816	79540.41753929583	64860.05590030482	53839.840131425975	48852.82015479497	54817.1356241877	22178.418306451615	34668.40206847015	47428.01034050588	82232.5649427238	120576.8417156887	78788.59448823529	183491.1886109795	91327.11952132419	130047.38073247323	76477.9454091251	72541.6125866323	30215.153703208558	79863.42998459689	106247.90372440557	61973.735042145716	37602.72347848009	38192.99270661624	109751.88163245856	91556.0469624004	17448.86979871385	32324.098641114982	43180.47054674857	19533.841899843268	132359.09468916463	85794.12607820315	129235.14700861431	98890.58698745455	101554.36414902483	57625.957625064686	117393.07573443317	43374.69431793079	24020.775470760316	102693.31305164825	51369.54730604333	49019.999988277355	132263.80299247842	111346.15278879924	116215.43679888976	75956.67931450807	58474.60474809054	73637.20509797138	58183.50738791127	39950.86261033152	51026.70859530196	86794.57035770081	47392.5718866694	64314.00620044608	92782.23727234414	54353.72311044293	68320.10295484906	68867.1128958302	40591.62319725563	86586.12478510974	65588.02475567443	58986.33062945615
ARG+POLYAMINE-SYN	4135.261357661799	69.14755024443237	58.84412296564195	20.57142857142857	1.9542857142857142	453.2342857142857	10.285714285714285	7728.138651733865	75.42857142857143	227.09714285714284	1.7942857142857143	248.37096954737035	20.41142857142857	769.4514285714284	1855.9998553345386	110.36571428571426	6.697142857142857	270.40072332730557	15795.453640552994	23.11891363389462	4.967256925583921	196.51323002204686	0.0	0.9828571428571428	0.0	0.0	966.6732941583133	0.0	53.20700460829493	0.0	0.0	0.0	0.0	0.0	1.6342857142857141	2.869049429657795	1.6342857142857141	0.0	2.937142857142857	0.0	0.6514285714285714	0.9828571428571428	0.0	0.67893536121673	0.0	34.09385317711003	0.0	0.0	0.0	0.0	0.4914285714285714	5.7142857142857135	0.0	1.7942857142857143	64.32	0.0	0.0	28724.14193548387	0.0	13150.877735379825	41.12373859783851	0.0	201.28028307918686	0.0	179.9972513562387	0.0	0.0	15.724137931034484	44.64442396313364	709.2773960216997	994.1043319450467	15096.138977390312	52.87217816404128	133.43577979878654	14.09005175531583	49.80571428571428	124.39999999999999	978.6516777480592	122.78231395980445	295.6685714285714	5248.639738668844	287.9917001629549	5437.674133623032	78.84571428571428	0.0	6903.882027649769	10.457142857142857	0.0	88.07932773109243	95.81308755760368	1618.6171428571427	38.20571428571428
ARGDEG-PWY	3987.335	70.60666666666667	58.333333333333336	21.0	1.995	462.6766666666667	10.5	979.600641025641	77.0	231.82833333333335	1.8316666666666668	254.10000000000002	20.836666666666666	785.4816666666667	1871.345	112.665	6.836666666666667	235.84166666666667	16128.796923076925	23.765000000000004	5.168333333333334	15.026666666666667	0.0	1.0033333333333334	0.0	0.0	1030.3183333333334	0.0	53.74666666666666	0.0	0.0	0.0	0.0	0.0	1.6683333333333334	3.056666666666667	1.6683333333333334	0.0	2.9983333333333335	0.0	0.665	1.0033333333333334	0.0	0.7233333333333334	0.0	12.833333333333334	0.0	0.0	0.0	0.0	0.5016666666666667	5.833333333333334	0.0	1.8316666666666668	65.66	0.0	0.0	29323.81217948718	0.0	2215.7979487179487	40.19166666666667	0.0	0.71	0.0	171.83833333333337	0.0	0.0	15.076923076923077	45.06	676.6666666666667	958.0955464480875	8090.770218579236	54.285000000000004	114.44352669188736	11.34448717948718	50.843333333333334	126.99166666666667	998.375	125.48666666666666	301.8283333333334	5332.987692307693	306.75166666666667	5792.651666666667	80.48833333333334	0.0	7046.883333333334	10.675	0.0	249.96914373088683	97.8124358974359	1652.3383333333334	39.001666666666665
ARGORNPROST-PWY	0.0	0.0	44.14165413533835	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	16.55263157894737	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5714285714285714	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.92105263157895	0.0	0.0	0.0	136.0	0.0	0.0	0.0	0.0	3.7894736842105265	0.0	5.0	0.0	0.0	0.0	10.0	0.0	3.0	0.0	0.0	0.0	342.00000000000006	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	41.0	0.0	2.0	20.0	0.0	6.526315789473685	0.0	0.0	11.428571428571429	61.131578947368425	5.0	0.0	200.0	2.5	5.0
ARGSYN-PWY	4166.598716288337	4729.944207917783	19335.41795815449	9073.102795514542	4729.059807056958	1153.0566847705215	2224.753765032377	8814.438302134544	4661.095687286035	14649.7511933395	163.439111933395	1075.1341831389484	21.445032377428305	20550.632644986836	7373.008849595017	915.2694172062904	14818.570212765955	295.7251293176722	14442.593006475485	177.43025638601728	3810.23014576448	64279.434512049454	375.82978723404256	19610.218739262586	2862.6382978723404	1778.5456429232192	2144.66213496248	1575.4225452623232	28378.032817545256	962.5298262625171	8.905033731188375	95781.67797013347	8258.548333592173	4842.5418316373725	1960.8975086302203	10361.972536339672	4751.5691227758725	10462.125494912118	2727.0074098057353	4711.035225481632	8944.007526602949	16771.821646623495	177.4071858309081	37.8910017083398	705.4039647119874	3317.65915268175	9358.69100679501	23789.63780626404	3479.842443988177	1549.6762257169287	2056.381575707296	4090.9448583423973	4005.424606845513	615.4254949121183	7534.603230626913	749.5446805480324	695.9785316215789	26230.644588344127	2118.2837287709467	14516.863843535639	68042.28642825228	5689.430247264525	2760.0865193367267	14596.687332242225	1263.158639824633	1364.1118726240234	856.7746901017576	14847.27356512714	34959.83298014658	3728.56790434655	1158.8800300011692	19782.25241802143	33833.860238087196	7609.490720490686	25678.67908488575	3558.912719617198	3265.8363351533058	2406.55686866033	2651.839728891783	3316.8817579431684	5342.511148750721	88037.6152084107	6981.358121887296	1866.0774056799903	3010.723404255319	50476.80991825407	4935.904061054579	6257.877381342061	33470.03175933662	17548.95821675087	3236.4195004625344	6558.363594555305
ARGSYNBSUB-PWY	4287.674626865672	3828.968421052631	3520.063373717864	8929.195046439629	2436.873684210526	761.9739938080495	294.0473684210526	8265.403921568628	2981.052631578947	14970.78947368421	168.42105263157896	984.4921101878343	18.799999999999997	16456.73165750196	4356.423563495895	120.02105263157894	9994.410526315789	297.8709631607351	14567.231578947367	27.757894736842108	1260.6402476780186	47142.96512175962	8.421052631578947	11693.673684210526	2752.1052631578946	1036.8315789473684	1723.2194029850746	957.8947368421052	2415.9350877192983	69.67719298245613	0.0	94789.87368421053	4945.677192982456	2937.294736842105	973.1226006191949	4454.65153508379	4789.972855844616	6045.542105263157	102.63526315789473	1055.7341589267285	6295.210526315789	17090.673684210527	17.36842105263158	1.1789473684210525	459.5114551083591	1821.9033316390185	846.0398964927683	21453.445614035085	475.91826625387	465.78947368421046	1140.6725243750288	2533.5680272108843	3551.052631578947	371.65263157894736	7463.345902068604	637.3399380804954	622.2853457172342	26461.947368421046	989.9065015479877	14246.727554179566	67970.34509803921	4177.468277806016	2018.6199423932965	3085.0287509819323	850.9244316944547	1325.7894736842104	93.53684210526315	2702.680495356037	12518.067135696383	826.7133742149684	934.3207743656881	18726.180609409035	25647.36842105263	1208.9544489795599	26447.1654216491	1716.1128577746888	1196.7512247004065	1782.9350293028847	1672.7798761609906	1481.7589147102588	5256.956140673556	49593.617543859655	6689.821052631578	561.7331269349845	2850.5263157894733	51701.55932776309	379.8436842105263	3311.4732545649836	27650.441689622854	18044.394213144802	2933.294736842105	5137.035087719298
ARO-PWY	31094.553759009916	53526.88961869709	25707.959007784666	55597.49846153846	38023.39800539811	56048.82476456876	51208.89538461538	14644.645959834215	124003.59846153845	87878.17940890687	43300.74055518395	10217.526322719981	825.7143076923077	44126.72201619433	50337.86219402643	29921.71842586399	43787.30635897436	32452.161712626992	16676.660194331984	23529.486198135197	64798.117002944426	111537.30362701847	38773.92307692308	88573.41457759784	85534.0923076923	79177.35404858299	26789.558142129707	54876.712847503375	42275.56690909091	139385.64717948716	26113.461538461535	107115.3685560054	90297.68742944316	52268.23011470985	81594.48599999999	67529.36002404612	34127.23689574899	28768.679926069355	50464.34515384615	84813.31564102563	88958.48468825911	119748.6528974359	79109.31578947368	182411.73769230768	100013.9241025641	105463.66744203164	121462.6920242915	66639.81997300945	73113.3102834008	104307.93882591093	103056.85034371883	56988.36099894385	37697.820566801616	71130.31169230769	101853.8359460189	91384.10884615385	4568.1471794871795	30168.773846153843	80099.7223076923	18793.1680493191	133110.370993007	89698.96884615385	143188.8720506073	102893.86345127031	106883.42770972424	54116.88072874494	109727.8457894737	55434.46974358974	53640.593415286465	82229.03031930333	42650.67475565335	54556.15626183468	148476.2016194332	98065.58006816813	102107.15892743105	76198.8822937063	74673.93877192982	72183.80111846677	70469.12979352227	40100.17905128205	97161.78516991317	128751.357050914	40142.048743589745	64120.494666666666	79357.9423076923	50991.14124445065	88168.51333333334	53018.20179487179	53620.77584397569	64970.637462887986	53079.79155923252	68351.3088340081
